,hs_code,Indent,Description
492,4412.99.31.20,8,With a face ply of walnut (<u>Juglans</u> spp.)
493,4412.99.31.30,8,With a face ply of sen (<u>Kalopanax</u> spp.)
494,4412.99.31.40,8,With a face ply of mahogany (<u>Swietenia</u> spp. or <u>Khaya</u> spp.)
495,,8,Other
496,4412.99.31.50,9,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width &&  && 2.2 m in length
497,4412.99.31.60,9,Other &&  not surface covered
498,4412.99.31.70,9,Other
499,4412.99.41.00,6,Other
500,4412.99.51,5,Other
501,4412.99.51.05,6,Wood flooring
502,4412.99.51.15,6,Other
503,,3,Other
504,4412.99.57.10,4,Containing at least one layer of particle board
505,,4,Other
506,,5,Plywood
507,,6,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply
508,4412.99.60.00,7,With a face ply of Parana pine (<u>Araucaria</u> <u>angustifolia</u>)
509,4412.99.70.00,7,With a face ply of European red pine (<u>Pinus silvestris</u>)
510,4412.99.80.00,7,Other
511,4412.99.90.00,6,Other
512,4412.99.95.00,5,Other
513,4413.00.00.00,0,Densified wood &&  in blocks &&  plates &&  strips or profile shapes
514,4414.00.00.00,0,Wooden frames for paintings &&  photographs &&  mirrors or similar objects
515,4415,0,Packing cases &&  boxes &&  crates &&  drums && similar packings &&  of wood; cable-drums &&  of wood; pallets &&  box-pallets && other load boards &&  of wood; pallet collars of wood
516,4415.10,1,Cases &&  boxes &&  crates &&  drums && similar packings; cable-drums
517,4415.10.30.00,2,Packing boxes && cases with solid sides &&  lids && bottoms
518,4415.10.60.00,2,Containers designed for use in the harvesting of fruits && vegetables
519,4415.10.90.00,2,Other
520,4415.20,1,Pallets &&  box-pallets && other load boards; pallet collars
521,4415.20.40.00,2,Containers designed for use in the harvesting of fruits && vegetables
522,4415.20.80.00,2,Other
523,4416.00,0,Casks &&  barrels &&  vats &&  tubs && other coopers' products && parts thereof &&  of wood &&  including staves
524,4416.00.30,1,Casks &&  barrels && hogsheads
525,4416.00.30.10,2,New
526,,2,Used
527,4416.00.30.20,3,Assembled (set up)
528,4416.00.30.30,3,Unassembled (knocked down)
529,4416.00.60,1,Staves && hoops; tight barrelheads of softwood
530,,2,New
531,4416.00.60.10,3,Staves
532,4416.00.60.20,3,Hoops
533,4416.00.60.30,3,Tight barrelheads
534,,2,Used
535,4416.00.60.40,3,Staves
536,4416.00.60.50,3,Other
537,4416.00.90,1,Other
538,4416.00.90.20,2,New
539,4416.00.90.40,2,Used
540,4417.00,0,Tools &&  tool bodies &&  tool handles &&  broom or brush bodies && handles &&  of wood; boot or shoe lasts && trees &&  of wood
541,4417.00.20.00,1,Broom && mop handles &&  1.9 cm or more in diameter && 97 cm or more in length
542,4417.00.40.00,1,Paint brush && paint roller handles
543,4417.00.60.00,1,Brush backs
544,4417.00.80,1,Other
545,4417.00.80.10,2,Tool handles
546,4417.00.80.90,2,Other
547,4418,0,Builders' joinery && carpentry of wood &&  including cellular wood panels && assembled flooring panels; shingles && shakes
548,4418.10.00.00,1,Windows &&  French-windows && their frames
549,4418.20,1,Doors && their frames && thresholds
550,4418.20.40.00,2,French doors
551,4418.20.80,2,Other
552,4418.20.80.30,3,Flush doors
553,4418.20.80.60,3,Other
554,4418.40.00.00,1,Formwork (shuttering) for concrete constructional work
555,4418.50.00,1,Shingles && shakes
556,,2,Shingles
557,4418.50.00.10,3,Of western red cedar
558,4418.50.00.30,3,Other
559,4418.50.00.50,2,Other
560,4418.60.00.00,1,Posts && beams
561,,1,Assembled flooring panels
562,4418.73,2,Of bamboo or with at least the top layer (wear layer) of bamboo
563,,3,For mosaic floors
564,4418.73.10.00,4,Solid
565,,4,Other
566,4418.73.20.00,5,Having a face ply more than 6 mm in thickness
567,4418.73.30.00,5,Other
568,,3,Other &&  multilayer
569,4418.73.40.00,4,Having a face ply more than 6 mm in thickness
570,,4,Other
571,4418.73.60.00,5,Of unidirectional bamboo
572,4418.73.70.00,5,Other
573,4418.73.90.00,3,Other
574,4418.74,2,Other &&  for mosaic floors
575,4418.74.10.00,3,Solid
576,,3,Other
577,4418.74.20.00,4,Having a face ply more than 6 mm in thickness
578,4418.74.90.00,4,Other
579,4418.75,2,Other &&  multilayer
580,4418.75.40.00,3,Having a face ply more than 6 mm in thickness
581,4418.75.70.00,3,Other
582,4418.79.01.00,2,Other
583,,1,Other
584,4418.91,2,Of bamboo
585,4418.91.10.00,3,Drilled or notched lumber studs
586,4418.91.90,3,Other
587,4418.91.90.05,4,Wood flooring
588,,4,Other
589,4418.91.90.10,5,Arches &&  laminated
590,4418.91.90.20,5,Roof trusses
591,4418.91.90.40,5,Other fabricated structural wood members
592,4418.91.90.50,5,Prefabricated partitions && panels for buildings
593,4418.91.90.95,5,Other
594,4418.99,2,Other
595,4418.99.10.00,3,Drilled or notched lumber studs
596,4418.99.90,3,Other
597,4418.99.90.05,4,Wood flooring
598,,4,Other
599,4418.99.90.10,5,Arches &&  laminated
600,4418.99.90.20,5,Roof trusses
601,4418.99.90.40,5,Other fabricated structural wood members
602,4418.99.90.50,5,Prefabricated partitions && panels for buildings
603,4418.99.90.95,5,Other
604,4419,0,Tableware && kitchenware &&  of wood
605,,1,Of bamboo
606,4419.11.00.00,2,Bread boards &&  chopping boards && similar boards
607,4419.12.00.00,2,Chopsticks
608,4419.19,2,Other
609,4419.19.10.00,3,Forks && spoons
610,4419.19.90.00,3,Other
611,4419.90,1,Other
612,4419.90.10.00,2,Forks && spoons
613,4419.90.90.00,2,Other
614,4420,0,Wood marquetry && inlaid wood; caskets && cases for jewelry or cutlery && similar articles &&  of wood; statuettes && other ornaments &&  of wood; wooden articles of furniture not falling within chapter 94
615,4420.10.00.00,1,Statuettes && other ornaments &&  of wood
616,4420.90,1,Other
617,,2,Jewelry boxes &&  silverware chests &&  cigar && cigarette boxes &&  microscope cases &&  tool or utensil cases && similar boxes &&  cases && chests &&  all the foregoing of wood
618,4420.90.20.00,3,Cigar && cigarette boxes
619,,3,Other
620,4420.90.45.00,4,Not lined with textile fabrics
621,4420.90.65.00,4,Lined with textile fabrics
622,4420.90.80.00,2,Other
623,4421,0,Other articles of wood
624,4421.10.00.00,1,Clothes hangers
625,,1,Other
626,4421.91,2,Of bamboo
627,,3,Wood dowel pins
628,4421.91.10.00,4,Plain
629,4421.91.20.00,4,Sanded &&  grooved or otherwise advanced in condition
630,,3,Wood blinds &&  shutters &&  screens && shades &&  all the foregoing with or without their hardware
631,4421.91.30.00,4,Consisting of wooden frames in the center of which are fixed louver boards or slats &&  with or without their hardware
632,4421.91.40.00,4,Other
633,,3,Toothpicks &&  skewers &&  candy sticks &&  ice cream sticks &&  tongue depressors &&  drink mixers && similar small wares
634,4421.91.50.00,4,Toothpicks
635,4421.91.60.00,4,Other
636,4421.91.70,3,Pickets &&  palings &&  posts && rails &&  the foregoing which are sawn; assembled fence sections
637,4421.91.70.20,4,Assembled fence sections
638,4421.91.70.40,4,Other
639,,3,Clothespins
640,4421.91.80,4,Spring-type
641,4421.91.80.24,5,Valued not over 80Â¢/gross
642,4421.91.80.27,5,Valued over 80Â¢ but not over $1.35/gross
643,4421.91.80.30,5,Valued over $1.35 but not over $1.70/gross
644,4421.91.80.33,5,Valued over $1.70/gross
645,4421.91.85.00,4,Other
646,4421.91.88.00,3,Canoe paddles
647,,3,Other
648,4421.91.93.00,4,Theatrical &&  ballet &&  && operatic scenery && properties &&  including sets
649,4421.91.94.00,4,Edge-glued lumber
650,4421.91.97,4,Other
651,4421.91.97.20,5,Pencil slats
652,4421.91.97.30,5,Burial caskets
653,4421.91.97.70,5,Gates for confining children or pets
654,4421.91.97.80,5,Other
655,4421.99,2,Other
656,,3,Wood dowel pins
657,,4,Plain
658,4421.99.10.00,5,Coniferous
659,4421.99.15.00,5,Other
660,4421.99.20.00,4,Sanded &&  grooved or otherwise advanced in condition
661,,3,Wood blinds &&  shutters &&  screens && shades &&  all the foregoing with or without their hardware
662,4421.99.30.00,4,Consisting of wooden frames in the center of which are fixed louver boards or slats &&  with or without their hardware
663,4421.99.40.00,4,Other
664,,3,Toothpicks &&  skewers &&  candy sticks &&  ice cream sticks &&  tongue depressors &&  drink mixers && similar small wares
665,4421.99.50.00,4,Toothpicks
666,4421.99.60.00,4,Other
667,4421.99.70,3,Pickets &&  palings &&  posts && rails &&  the foregoing which are sawn; assembled fence sections
668,4421.99.70.20,4,Assembled fence sections
669,4421.99.70.40,4,Other
670,,3,Clothespins
671,4421.99.80,4,Spring-type
672,4421.99.80.24,5,Valued not over 80Â¢/gross
673,4421.99.80.27,5,Valued over 80Â¢ but not over $1.35/gross
674,4421.99.80.30,5,Valued over $1.35 but not over $1.70/gross
675,4421.99.80.33,5,Valued over $1.70/gross
676,4421.99.85.00,4,Other
677,4421.99.88.00,3,Canoe paddles
678,,3,Other
679,4421.99.93.00,4,Theatrical &&  ballet &&  && operatic scenery && properties &&  including sets
680,4421.99.94.00,4,Edge-glued lumber
681,4421.99.97,4,Other
682,4421.99.97.20,5,Pencil slats
683,4421.99.97.30,5,Burial caskets
684,4421.99.97.70,5,Gates for confining children or pets
685,4421.99.97.80,5,Other
686,9201,0,Pianos &&  including player pianos; harpsichords && other keyboard stringed instruments
687,9201.10.00,1,Upright pianos
688,9201.10.00.05,2,Used
689,,2,Other
690,9201.10.00.11,3,Containing a case measuring less than 111.76 cm in height
691,9201.10.00.21,3,Containing a case measuring 111.76 cm or more but less than 121.92 cm in height
692,9201.10.00.31,3,Containing a case measuring 121.92 cm or more but less than 129.54 cm in height
693,9201.10.00.41,3,Containing a case measuring 129.54 cm or more in height
694,9201.20.00,1,Grand pianos
695,9201.20.00.05,2,Used
696,,2,Other
697,9201.20.00.11,3,Containing a case measuring less than 152.40 cm in length
698,9201.20.00.21,3,Containing a case measuring 152.40 cm or more but less than 167.64 cm in length
699,9201.20.00.31,3,Containing a case measuring 167.64 cm or more but less than 180.34 cm in length
700,9201.20.00.41,3,Containing a case measuring 180.34 cm or more but less than 195.58 cm in length
701,9201.20.00.51,3,Containing a case measuring 195.58 cm or more in length
702,9201.90.00.00,1,Other
703,9202,0,Other string musical instruments (for example &&  guitars &&  violins &&  harps)
704,9202.10.00.00,1,Played with a bow
705,9202.90,1,Other
706,,2,Guitars
707,9202.90.20.00,3,Valued not over $100 each &&  excluding the value of the case
708,9202.90.40.00,3,Other
709,9202.90.60.00,2,Other
710,9205,0,Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs
711,9205.10.00,1,Brass-wind instruments
712,9205.10.00.40,2,Valued not over $10 each
713,9205.10.00.80,2,Valued over $10 each
714,9205.90,1,Other
715,,2,Keyboard pipe organs; harmoniums && similar keyboard instruments with free metal reeds
716,9205.90.12.00,3,Keyboard pipe organs
717,9205.90.14.00,3,Other
718,,2,Accordions && similar instruments; mouth organs
719,,3,Accordions && similar instruments
720,9205.90.15.00,4,Piano accordions
721,9205.90.18.00,4,Other
722,9205.90.19.00,3,Mouth organs
723,,2,Woodwind instruments
724,9205.90.20.00,3,Bagpipes
725,9205.90.40,3,Other
726,9205.90.40.20,4,Clarinets
727,9205.90.40.40,4,Saxophones
728,9205.90.40.60,4,Flutes && piccolos (except bamboo)
729,9205.90.40.80,4,Other
730,9205.90.60.00,2,Other
731,9206.00,0,Percussion musical instruments (for example &&  drums &&  xylophones &&  cymbals &&  castanets &&  maracas)
732,9206.00.20.00,1,Drums
733,9206.00.40.00,1,Cymbals
734,9206.00.60.00,1,Sets of tuned bells known as chimes &&  peals or carillons
735,9206.00.80.00,1,Other
736,9207,0,Musical instruments &&  the sound of which is produced &&  or must be amplified &&  electrically (for example &&  organs &&  guitars &&  accordions)
737,9207.10.00,1,Keyboard instruments &&  other than accordions
738,,2,Music synthesizers
739,9207.10.00.05,3,Valued under $100 each
740,9207.10.00.10,3,Valued $100 or over each
741,,2,Other
742,,3,With more than one keyboard
743,9207.10.00.45,4,Valued under $200 each
744,9207.10.00.55,4,Valued $200 or over each
745,,3,With one keyboard
746,9207.10.00.60,4,Hand-held
747,,4,Other
748,9207.10.00.65,5,Valued under $100 each
749,9207.10.00.75,5,Valued $100 or over each
750,9207.90.00,1,Other
751,9207.90.00.40,2,Fretted stringed instruments
752,9207.90.00.80,2,Other
753,9208,0,Music boxes &&  fairground organs &&  mechanical street organs &&  mechanical singing birds &&  musical saws && other musical instruments not falling within any other heading of this chapter; decoy calls of all kinds; whistles &&  call horns && other mouth-blown sound signaling instruments
754,9208.10.00.00,1,Music boxes
755,9208.90.00,1,Other
756,9208.90.00.40,2,Musical instruments
757,9208.90.00.80,2,Other
758,9209,0,Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs && rolls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitch pipes of all kinds
759,9209.30.00.00,1,Musical instrument strings
760,,1,Other
761,9209.91,2,Parts && accessories for pianos
762,9209.91.40.00,3,Tuning pins
763,9209.91.80.00,3,Other
764,9209.92,2,Parts && accessories for the musical instruments of heading 9202
765,9209.92.20.00,3,Mutes &&  collapsible musical instrument stands && music holders for attachment to musical instruments
766,9209.92.40.00,3,Tuning pins
767,9209.92.60.00,3,Bows &&  parts of bows &&  bow hair &&  chin rests && other parts && accessories for string instruments played with a bow
768,9209.92.80.00,3,Other
769,9209.94,2,Parts && accessories for the musical instruments of heading 9207
770,9209.94.40.00,3,Collapsible musical instrument stands
771,9209.94.80.00,3,Other
772,9209.99,2,Other
773,9209.99.05.00,3,Metronomes &&  tuning forks && pitch pipes
774,9209.99.10.00,3,Mutes for musical instruments; pedals &&  dampers && spurs for drums; pedals && holders for cymbals; lyres && other music holders for attachment to musical instruments; && collapsible stands for holding music or for holding musical instruments
775,,3,Other
776,9209.99.16.00,4,For pipe organs of subheading 9205.90.12
777,9209.99.18.00,4,For instruments of subheading 9205.90.14
778,9209.99.20.00,4,For bagpipes
779,9209.99.40,4,For other woodwind && brass wind musical instruments
780,9209.99.40.40,5,For woodwind musical instruments
781,9209.99.40.80,5,Other
782,9209.99.61.00,4,For music boxes
783,9209.99.80.00,4,Other
784,9301,0,Military weapons &&  other than revolvers &&  pistols && the arms of heading 9307
785,9301.10.00,1,Artillery weapons (for example &&  guns &&  howitzers && mortars)
786,9301.10.00.10,2,Self propelled
787,9301.10.00.80,2,Other
788,9301.20.00.00,1,Rocket launchers; flame-throwers; grenade launchers; torpedo tubes && similar projectors
789,9301.90,1,Other
790,9301.90.30,2,Rifles
791,9301.90.30.10,3,Telescopic sights imported with rifles
792,9301.90.30.20,3,Rifles
793,9301.90.60.00,2,Shotguns
794,9301.90.90,2,Other
795,9301.90.90.30,3,Machine guns
796,9301.90.90.90,3,Other
797,9302.00.00,0,Revolvers && pistols &&  other than those of heading 9303 or 9304
798,9302.00.00.20,1,Revolvers
799,9302.00.00.40,1,Semiautomatic pistols
800,9302.00.00.90,1,Other
801,9303,0,Other firearms && similar devices which operate by the firing of an explosive charge (for example &&  sporting shot- guns && rifles &&  muzzle-loading firearms &&  Very pistols && other devices designed to project only signal flares &&  pistols && revolvers for firing blank ammunition &&  captive-bolt humane killers &&  line-throwing guns)
802,9303.10.00.00,1,Muzzle-loading firearms
803,9303.20.00,1,Other sporting &&  hunting or target-shooting shotguns &&  including combination shotgun-rifles
804,,2,Shotguns
805,9303.20.00.20,3,Autoloading
806,9303.20.00.30,3,Pump action
807,9303.20.00.40,3,Over && under
808,9303.20.00.65,3,Other
809,9303.20.00.80,2,Combination shotgun-rifles
810,9303.30,1,Other sporting &&  hunting or target-shooting rifles
811,9303.30.40,2,Valued over $25 but not over $50 each
812,9303.30.40.10,3,Telescopic sights imported with rifles
813,,3,Rifles
814,9303.30.40.20,4,Centerfire
815,9303.30.40.30,4,Rimfire
816,9303.30.80,2,Other
817,9303.30.80.05,3,Telescopic sights imported with rifles
818,,3,Rifles
819,,4,Centerfire
820,9303.30.80.10,5,Autoloading
821,,5,Bolt action
822,9303.30.80.12,6,Single shot
823,9303.30.80.17,6,Other
824,9303.30.80.25,5,Other
825,9303.30.80.30,4,Rimfire
826,9303.90,1,Other
827,9303.90.40.00,2,Pistols && revolvers designed to fire only blank cartridges or blank ammunition
828,9303.90.80.00,2,Other
829,9304.00,0,Other arms (for example &&  spring &&  air or gas guns && pistols &&  truncheons) &&  excluding those of heading 9307
830,,1,Pistols &&  rifles && other guns which eject missiles by release of compressed air or gas &&  or by the release of a spring mechanism or rubber held under tension
831,9304.00.20.00,2,Rifles
832,9304.00.40.00,2,Other
833,9304.00.60.00,1,Other
834,9305,0,Parts && accessories of articles of headings 9301 to 9304
835,9305.10,1,Of revolvers or pistols
836,9305.10.20,2,Of heading 9302
837,9305.10.20.10,3,Frames && receivers
838,9305.10.20.80,3,Other
839,,2,Other
840,9305.10.40.00,3,Of revolvers or pistols designed to fire only blank cartridges or blank ammunition
841,9305.10.60.00,3,Of muzzle-loading revolvers && pistols
842,9305.10.80.00,3,Other
843,9305.20,1,Of shotguns or rifles of heading 9303
844,9305.20.05.00,2,Rifle stocks
845,9305.20.80,2,Other
846,,3,Shotgun barrels
847,9305.20.80.04,4,Of muzzle-loading shotguns
848,9305.20.80.08,4,Other
849,9305.20.80.20,3,Other parts of muzzle-loading shotguns or rifles
850,,3,Other
851,,4,Of shotguns &&  including shotgun-rifle combinations
852,9305.20.80.31,5,Stocks
853,9305.20.80.33,5,Other
854,9305.20.80.60,4,Of rifles
855,,1,Other
856,9305.91,2,Of military weapons of heading 9301
857,9305.91.10.00,3,Of rifles
858,9305.91.20.00,3,Of shotguns
859,9305.91.30,3,Other
860,9305.91.30.10,4,Of artillery weapons of 9301.10
861,9305.91.30.30,4,Other
862,9305.99,2,Other
863,9305.99.40.00,3,Of articles of heading 9303 other than shotguns or rifles
864,9305.99.50,3,Of articles of subheading 9304.00.20 or 9304.00.40
865,9305.99.50.10,4,Parts && accessories of paintball markers
866,9305.99.50.50,4,Other
867,9305.99.60.00,3,Other
868,9306,0,Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads
869,,1,Shotgun cartridges && parts thereof; air gun pellets
870,9306.21.00.00,2,Cartridges
871,9306.29.00.00,2,Other
872,9306.30,1,Other cartridges && parts thereof
873,9306.30.41,2,Cartridges && empty cartridge shells
874,,3,Cartridges containing a projectile
875,,4,For rifles or pistols
876,9306.30.41.10,5,.22 caliber
877,9306.30.41.20,5,Other
878,9306.30.41.30,4,Other
879,9306.30.41.38,3,Cartridges for riveting or similar tools or for captive-bolt humane killers && parts thereof
880,,3,Empty cartridge shells
881,9306.30.41.40,4,For rifles or pistols
882,9306.30.41.50,4,Other
883,9306.30.41.60,3,Other
884,9306.30.80.00,2,Other
885,9306.90.00,1,Other
886,9306.90.00.20,2,Guided missiles
887,,2,Bombs &&  grenades &&  torpedoes &&  mines && similar munitions of war; other ammunition && projectiles
888,9306.90.00.41,3,Paintballs
889,9306.90.00.50,3,Other
890,9306.90.00.60,2,Parts for guided missiles
891,9306.90.00.80,2,Parts for bombs &&  grenades &&  torpedoes &&  mines && similar munitions of war; parts of other ammunition && projectiles
892,9307.00.00.00,0,Swords &&  cutlasses &&  bayonets &&  lances && similar arms && parts thereof && scabbards && sheaths therefor
893,9401,0,Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof
894,9401.10,1,Seats of a kind used for aircraft
895,9401.10.40.00,2,Leather upholstered
896,9401.10.80.00,2,Other
897,9401.20.00.00,1,Seats of a kind used for motor vehicles
898,9401.30,1,Swivel seats with variable height adjustment
899,9401.30.40.00,2,With wooden frame
900,9401.30.80,2,Other
901,9401.30.80.10,3,Household
902,9401.30.80.30,3,Other
903,9401.40.00.00,1,Seats other than garden seats or camping equipment &&  convertible into beds
904,,1,Seats of cane &&  osier &&  bamboo or similar materials
905,9401.52.00.00,2,Of bamboo
906,9401.53.00.00,2,Of rattan
907,9401.59.00.00,2,Other
908,,1,Other seats &&  with wooden frames
909,9401.61,2,Upholstered
910,,3,Chairs
911,9401.61.20,4,Of teak
912,9401.61.20.10,5,Household
913,9401.61.20.30,5,Other
914,9401.61.40,4,Other
915,9401.61.40.01,5,Chairs for children &&  including highchairs
916,9401.61.40.11,5,Other household
917,9401.61.40.31,5,Other
918,9401.61.60,3,Other
919,9401.61.60.01,4,Stationary activity centers for children
920,9401.61.60.05,4,Other seats for children
921,9401.61.60.11,4,Other household
922,9401.61.60.31,4,Other
923,9401.69,2,Other
924,9401.69.20,3,Bent-wood seats
925,9401.69.20.10,4,Household
926,9401.69.20.30,4,Other
927,,3,Other
928,,4,Chairs
929,9401.69.40,5,Of teak
930,9401.69.40.10,6,Household
931,9401.69.40.30,6,Other
932,9401.69.60,5,Other
933,9401.69.60.01,6,Chairs for children including highchairs
934,9401.69.60.11,6,Other household
935,9401.69.60.31,6,Other.
936,9401.69.80,4,Other
937,9401.69.80.01,5,Stationary activity centers for children
938,9401.69.80.05,5,Other seats for children
939,9401.69.80.11,5,Other household
940,9401.69.80.31,5,Other
941,,1,Other seats &&  with metal frames
942,9401.71.00,2,Upholstered
943,9401.71.00.01,3,Highchairs && booster seats
944,9401.71.00.05,3,Infant walkers
945,9401.71.00.06,3,Bouncers with seats
946,9401.71.00.07,3,Swings for children
947,9401.71.00.08,3,Stationary activity centers for children
948,9401.71.00.11,3,Other household
949,9401.71.00.31,3,Other
950,9401.79.00,2,Other
951,9401.79.00.01,3,Highchairs && booster seats
952,9401.79.00.02,3,Infant walkers
953,9401.79.00.03,3,Bouncers with seats
954,9401.79.00.04,3,Swings for children
955,9401.79.00.06,3,Stationary activity centers for children
956,,3,Other
957,,4,Outdoor
958,,5,With textile covered cushions or textile seating or backing material
959,9401.79.00.11,6,Household
960,9401.79.00.15,6,Other
961,,5,Other
962,9401.79.00.25,6,Household
963,9401.79.00.35,6,Other
964,,4,Other
965,9401.79.00.46,5,Household
966,9401.79.00.50,5,Other
967,9401.80,1,Other seats
968,,2,Of rubber or plastics
969,9401.80.20,3,Of reinforced or laminated plastics
970,9401.80.20.01,4,ChildrenÊ¼s highchairs && booster seats except for motor vehicle; bath seats &&  infant walkers &&  bouncers with seats &&  swings for children
971,9401.80.20.05,4,Stationary activity centers for children
972,9401.80.20.11,4,Other household
973,9401.80.20.31,4,Other
974,9401.80.40,3,Other
975,9401.80.40.01,4,ChildrenÊ¼s highchairs && booster seats except for motor vehicle; bath seats &&  infant walkers &&  bouncers with seats &&  swings for children
976,9401.80.40.04,4,Stationary activity centers for children
977,,4,Other
978,,5,Outdoor
979,,6,With textile covered cushions or textile seating or backing material
980,9401.80.40.06,7,Household
981,9401.80.40.15,7,Other
982,,6,Other
983,9401.80.40.26,7,Household
984,9401.80.40.35,7,Other
985,9401.80.40.46,5,Other
986,9401.80.60,2,Other
987,,3,Child safety seats
988,9401.80.60.21,4,With detachable hard-shell seat
989,9401.80.60.23,4,Other
990,9401.80.60.24,3,Stationary activity centers for children
991,9401.80.60.25,3,Other seats for children
992,9401.80.60.28,3,Other household
993,9401.80.60.30,3,Other
994,9401.90,1,Parts
995,9401.90.10,2,Of seats of a kind used for motor vehicles
996,9401.90.10.10,3,Of leather &&  cut to shape
997,9401.90.10.20,3,Of textile material &&  cut to shape
998,9401.90.10.85,3,Other
999,9401.90.15.00,2,Of bent-wood seats
1000,,2,Other
1001,9401.90.25,3,Of cane &&  osier &&  bamboo or similar materials
1002,9401.90.25.40,4,Of rattan
1003,9401.90.25.80,4,Other
1004,9401.90.35,3,Of rubber or plastics
1005,9401.90.35.10,4,For childrenÊ¼s highchairs &&  booster seats except for motor vehicle && similar seats
1006,9401.90.35.80,4,Other
1007,9401.90.40,3,Of wood
1008,9401.90.40.10,4,For childrenÊ¼s highchairs &&  booster seats &&  && similar seats
1009,9401.90.40.80,4,Other
1010,9401.90.50,3,Other
1011,9401.90.50.05,4,For childrenÊ¼s highchairs &&  booster seats &&  && similar seats
1012,9401.90.50.21,4,Other of textile material &&  cut to shape
1013,9401.90.50.81,4,Other
1014,9402,0,Medical &&  surgical &&  dental or veterinary furniture (for example &&  operating tables &&  examination tables &&  hospital beds with mechanical fittings &&  dentists' chairs); barbers' chairs && similar chairs &&  having rotating as well as both reclining && elevating movements; parts of the foregoing articles
1015,9402.10.00.00,1,Dentists' &&  barbers' or similar chairs && parts thereof
1016,9402.90.00,1,Other
1017,9402.90.00.10,2,Hospital beds
1018,9402.90.00.20,2,Other
1019,9403,0,Other furniture && parts thereof
1020,9403.10.00,1,Metal furniture of a kind used in offices
1021,9403.10.00.20,2,Filing cabinets
1022,9403.10.00.40,2,Other
1023,9403.20.00,1,Other metal furniture
1024,,2,Household
1025,9403.20.00.11,3,Floor-standing &&  metal-top ironing boards
1026,,3,Other
1027,9403.20.00.16,4,Cribs
1028,9403.20.00.17,4,Toddler beds &&  bassinets &&  cradles &&  play yards && other enclosures for confining children
1029,9403.20.00.19,4,Mechanically adjustable bed or mattress base &&  having the characteristics of a bed or bed frame &&  of a width exceeding 91.44 cm &&  of a length exceeding 184.15 cm &&  && of a depth exceeding 8.89 cm &&  whether or not motorized
1030,9403.20.00.21,4,Other
1031,,2,Other
1032,,3,Counters &&  lockers &&  racks &&  display cases &&  shelves &&  partitions && similar fixtures
1033,9403.20.00.25,4,Boltless or press-fit steel shelving units prepackaged for sale as described in statistical note 2 to this chapter
1034,9403.20.00.26,4,Other
1035,9403.20.00.30,3,Other
1036,9403.30,1,Wooden furniture of a kind used in offices
1037,9403.30.40.00,2,Bent-wood furniture
1038,9403.30.80.00,2,Other
1039,9403.40,1,Wooden furniture of a kind used in the kitchen
1040,9403.40.40.00,2,Bent-wood furniture
1041,,2,Other
1042,9403.40.60.00,3,Designed for motor vehicle use
1043,9403.40.90,3,Other
1044,9403.40.90.40,4,Dining tables
1045,9403.40.90.60,4,Cabinets designed for permanent installation
1046,9403.40.90.80,4,Other
1047,9403.50,1,Wooden furniture of a kind used in the bedroom
1048,9403.50.40.00,2,Bent-wood furniture
1049,,2,Other
1050,9403.50.60.00,3,Designed for motor vehicle use
1051,9403.50.90,3,Other
1052,,4,Beds
1053,9403.50.90.41,5,Cribs
1054,9403.50.90.42,5,Toddler beds &&  bassinets &&  && cradles
1055,9403.50.90.45,5,Other
1056,9403.50.90.80,4,Other
1057,9403.60,1,Other wooden furniture
1058,9403.60.40.00,2,Bent-wood furniture
1059,9403.60.80,2,Other
1060,9403.60.80.10,3,Play yards && other enclosures for confining children
1061,9403.60.80.40,3,Dining tables
1062,9403.60.80.81,3,Other
1063,9403.70,1,Furniture of plastics
1064,9403.70.40,2,Of reinforced or laminated plastics
1065,9403.70.40.01,3,Cribs
1066,9403.70.40.02,3,Toddler beds &&  bassinets && cradles
1067,9403.70.40.03,3,Play yards && other enclosures for confining children
1068,9403.70.40.15,3,Other household
1069,9403.70.40.20,3,Office
1070,9403.70.40.31,3,Other
1071,9403.70.80,2,Other
1072,9403.70.80.01,3,Cribs
1073,9403.70.80.02,3,Toddler beds &&  bassinets && cradles
1074,9403.70.80.03,3,Play yards && other enclosures for confining children
1075,9403.70.80.15,3,Other household
1076,9403.70.80.20,3,Office
1077,9403.70.80.31,3,Other
1078,,1,Furniture of other materials &&  including cane &&  osier &&  bamboo or similar materials
1079,9403.82.00,2,Of bamboo
1080,9403.82.00.01,3,Cribs
1081,9403.82.00.02,3,Toddler beds &&  bassinets &&  && cradles; play yards && other enclosures for confining children
1082,9403.82.00.15,3,Other household
1083,9403.82.00.30,3,Other
1084,9403.83.00,2,Of rattan
1085,9403.83.00.01,3,Cribs
