,Indent,Description,hs_code
441,3.0,With at least one outer ply of nonconiferous wood,4412.94.10
442,4.0,Plywood,4412.94.10
443,5.0,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply,4412.94.10
444,6.0,With a face ply of birch ( <i>Betula</i> spp.),4412.94.10
445,7.0,Not surface covered,4412.94.10.30
446,7.0,Other,4412.94.10.50
447,6.0,Other,4412.94.31
448,7.0,Wood flooring,4412.94.31.5
449,7.0,Other,4412.94.31.11
450,8.0,With a face ply of Spanish cedar ( <i>Cedrela</i> spp.),4412.94.31.11
451,8.0,With a face ply of walnut ( <i>Juglans</i> spp.),4412.94.31.21
452,8.0,With a face ply of sen ( <i> Kalopanax spp. </i> ),4412.94.31.31
453,8.0,With a face ply of mahogany ( <i>Swietenia</i> spp. or <i>Khaya</i> spp.),4412.94.31.41
454,8.0,Other,4412.94.31.60
455,9.0,Not surface covered,4412.94.31.60
456,9.0,Other,4412.94.31.71
457,5.0,Other,4412.94.41
458,4.0,Other,4412.94.51
459,3.0,Other,4412.94.60
460,4.0,Plywood,4412.94.60
461,5.0,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply,4412.94.60
462,6.0,With a face ply of Parana pine ( <i>Araucaria angustifolia</i> ),4412.94.60
463,6.0,With a face ply of European red pine ( <i>Pinus silvestris</i> ),4412.94.70
464,6.0,Other,4412.94.80
465,5.0,Other,4412.94.90
466,4.0,Other,4412.94.95
467,2.0,Other,4412.99
468,3.0,With at least one outer ply of nonconiferous wood,4412.99.06
469,4.0,Containing at least one layer of particle board,4412.99.06
470,4.0,Other,4412.99.10
471,5.0,Plywood,4412.99.10
472,6.0,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply,4412.99.10
473,7.0,With a face ply of birch ( <i>Betula</i> spp.),4412.99.10
474,8.0,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length,4412.99.10.20
475,8.0,Other,4412.99.10.30
476,9.0,Not surface covered,4412.99.10.30
477,9.0,Other,4412.99.10.40
478,7.0,Other,4412.99.31
479,8.0,With a face ply of Spanish cedar ( <i>Cedrela</i> spp.),4412.99.31.10
480,8.0,With a face ply of walnut ( <i>Juglans</i> spp.),4412.99.31.20
481,8.0,With a face ply of sen ( <i>Kalopanax</i> spp.),4412.99.31.30
482,8.0,With a face ply of mahogany ( <i>Swietenia</i> spp. or <i>Khaya</i> spp.),4412.99.31.40
483,8.0,Other,4412.99.31.50
484,9.0,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width &&  && 2.2 m in length,4412.99.31.50
485,9.0,Other &&  not surface covered,4412.99.31.60
486,9.0,Other,4412.99.31.70
487,6.0,Other,4412.99.41
488,5.0,Other,4412.99.51
489,6.0,Wood flooring,4412.99.51.5
490,6.0,Other,4412.99.51.15
491,3.0,Other,4412.99.51.15
492,4.0,Containing at least one layer of particle board,4412.99.57
493,4.0,Other,4412.99.60
494,5.0,Plywood,4412.99.60
495,6.0,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply,4412.99.60
496,7.0,With a face ply of Parana pine ( <i>Araucaria angustifolia</i> ),4412.99.60
497,7.0,With a face ply of European red pine ( <i>Pinus silvestris</i> ),4412.99.70
498,7.0,Other,4412.99.80
499,6.0,Other,4412.99.90
500,5.0,Other,4412.99.95
501,0.0,Densified wood &&  in blocks &&  plates &&  strips or profile shapes,4413.00.00
502,0.0,Wooden frames for paintings &&  photographs &&  mirrors or similar objects,4414.00.00
503,0.0,Packing cases &&  boxes &&  crates &&  drums && similar packings &&  of wood; cable-drums &&  of wood; pallets &&  box-pallets && other load boards &&  of wood; pallet collars of wood,4415
504,1.0,Cases &&  boxes &&  crates &&  drums && similar packings; cable-drums,4415.10
505,2.0,Packing boxes && cases with solid sides &&  lids && bottoms,4415.10.30
506,2.0,Containers designed for use in the harvesting of fruits && vegetables,4415.10.60
507,2.0,Other,4415.10.90
508,1.0,Pallets &&  box-pallets && other load boards; pallet collars,4415.20
509,2.0,Containers designed for use in the harvesting of fruits && vegetables,4415.20.40
510,2.0,Other,4415.20.80
511,0.0,Casks &&  barrels &&  vats &&  tubs && other coopers' products && parts thereof &&  of wood &&  including staves,4416.00
512,1.0,Casks &&  barrels && hogsheads,4416.00.30
513,2.0,New,4416.00.30.10
514,2.0,Used,4416.00.30.20
515,3.0,Assembled (set up),4416.00.30.20
516,3.0,Unassembled (knocked down),4416.00.30.30
517,1.0,Staves && hoops; tight barrel heads of softwood,4416.00.60
518,2.0,New,4416.00.60.10
519,3.0,Staves,4416.00.60.10
520,3.0,Hoops,4416.00.60.20
521,3.0,Tight barrel heads,4416.00.60.30
522,2.0,Used,4416.00.60.40
523,3.0,Staves,4416.00.60.40
524,3.0,Other,4416.00.60.50
525,1.0,Other,4416.00.90
526,2.0,New,4416.00.90.20
527,2.0,Used,4416.00.90.40
528,0.0,Tools &&  tool bodies &&  tool handles &&  broom or brush bodies && handles &&  of wood; boot or shoe lasts && trees &&  of wood,4417.00
529,1.0,Broom && mop handles &&  1.9 cm or more in diameter && 97 cm or more in length,4417.00.20
530,1.0,Paint brush && paint roller handles,4417.00.40
531,1.0,Brush backs,4417.00.60
532,1.0,Other,4417.00.80
533,2.0,Tool handles,4417.00.80.10
534,2.0,Other,4417.00.80.90
535,0.0,Builders' joinery && carpentry of wood &&  including cellular wood panels && assembled flooring panels; shingles && shakes,4418
536,1.0,Windows &&  French-windows && their frames,4418.10.00
537,1.0,Doors && their frames && thresholds,4418.20
538,2.0,French doors,4418.20.40
539,2.0,Other,4418.20.80
540,3.0,Flush doors,4418.20.80.30
541,3.0,Other,4418.20.80.60
542,1.0,Form work (shuttering) for concrete constructional work,4418.40.00
543,1.0,Shingles && shakes,4418.50.00
544,2.0,Shingles,4418.50.00.10
545,3.0,Of western red cedar,4418.50.00.10
546,3.0,Other,4418.50.00.30
547,2.0,Other,4418.50.00.50
548,1.0,Posts && beams,4418.60.00
549,1.0,Assembled flooring panels,4418.71
550,2.0,For mosaic floors,4418.71
551,3.0,Solid,4418.71.10
552,3.0,Other,4418.71.20
553,4.0,Having a face ply more than 6 mm in thickness,4418.71.20
554,4.0,Other,4418.71.90
555,2.0,Other &&  multilayer,4418.72
556,3.0,Having a face ply more than 6 mm in thickness,4418.72.20
557,3.0,Other,4418.72.91
558,4.0,Of unidirectional bamboo,4418.72.91
559,4.0,Other,4418.72.95
560,2.0,Other,4418.79.00
561,1.0,Other,4418.90
562,2.0,Drilled or notched lumber studs,4418.90.25
563,2.0,Other,4418.90.46
564,3.0,Wood flooring,4418.90.46.5
565,3.0,Other,4418.90.46.10
566,4.0,Arches &&  laminated,4418.90.46.10
567,4.0,Roof trusses,4418.90.46.20
568,4.0,Other fabricated structural wood members,4418.90.46.40
569,4.0,Prefabricated partitions && panels for buildings,4418.90.46.50
570,4.0,Other,4418.90.46.95
571,0.0,Tableware && kitchenware &&  of wood,4419.00
572,1.0,Forks && spoons,4419.00.40
573,1.0,Other,4419.00.80
574,0.0,Wood marquetry && inlaid wood; caskets && cases for jewelry or cutlery && similar articles &&  of wood; statuettes && other ornaments &&  of wood; wooden articles of furniture not falling within chapter 94,4420
575,1.0,Statuettes && other ornaments &&  of wood,4420.10.00
576,1.0,Other,4420.90
577,2.0,Jewelry boxes &&  silverware chests &&  cigar && cigarette boxes &&  microscope cases &&  tool or utensil cases && similar boxes &&  cases && chests &&  all the foregoing of wood,4420.90.20
578,3.0,Cigar && cigarette boxes,4420.90.20
579,3.0,Other,4420.90.45
580,4.0,Not lined with textile fabrics,4420.90.45
581,4.0,Lined with textile fabrics,4420.90.65
582,2.0,Other,4420.90.80
583,0.0,Other articles of wood,4421
584,1.0,Clothes hangers,4421.10.00
585,1.0,Other,4421.90
586,2.0,Wood dowel pins,4421.90.10
587,3.0,Plain,4421.90.10
588,4.0,Coniferous,4421.90.10
589,4.0,Other,4421.90.15
590,3.0,Sanded &&  grooved or otherwise advanced in condition,4421.90.20
591,2.0,Wood blinds &&  shutters &&  screens && shades &&  all the foregoing with or without their hardware,4421.90.30
592,3.0,Consisting of wooden frames in the center of which are fixed louver boards or slats &&  with or without their hardware,4421.90.30
593,3.0,Other,4421.90.40
594,2.0,Toothpicks &&  skewers &&  candy sticks &&  ice cream sticks &&  tongue depressors &&  drink mixers && similar small wares,4421.90.50
595,3.0,Toothpicks,4421.90.50
596,3.0,Other,4421.90.60
597,2.0,Pickets &&  palings &&  posts && rails &&  the foregoing which are sawn; assembled fence sections,4421.90.70
598,3.0,Assembled fence sections,4421.90.70.20
599,3.0,Other,4421.90.70.40
600,2.0,Clothes pins,4421.90.80
601,3.0,Spring-type,4421.90.80
602,4.0,Valued not over 80Â¢/gross,4421.90.80.24
603,4.0,Valued over 80Â¢ but not over $1.35/gross,4421.90.80.27
604,4.0,Valued over $1.35 but not over $1.70/gross,4421.90.80.30
605,4.0,Valued over $1.70/gross,4421.90.80.33
606,3.0,Other,4421.90.85
607,2.0,Canoe paddles,4421.90.88
608,2.0,Other,4421.90.93
609,3.0,Theatrical &&  ballet &&  && operatic scenery && properties &&  including sets,4421.90.93
610,3.0,Edge-glued lumber,4421.90.94
611,3.0,Other,4421.90.97
612,4.0,Pencil slats,4421.90.97.20
613,4.0,Burial caskets,4421.90.97.30
614,4.0,Gates for confining children or pets,4421.90.97.70
615,4.0,Other,4421.90.97.80
616,0.0,Pianos &&  including playerpianos; harpsichords && other keyboard stringed instruments,9201
617,1.0,Upright pianos,9201.10.00
618,2.0,Used,9201.10.00.5
619,2.0,Other,9201.10.00.11
620,3.0,Containing a case measuring less than 111.76 cm in height,9201.10.00.11
621,3.0,Containing a casemeasuring 111.76 cm or more but less than 121.92 cm in height,9201.10.00.21
622,3.0,Containing a case measuring 121.92 cm or more butless than 129.54 cm in height,9201.10.00.31
623,3.0,Containing a case measuring 129.54 cm or more in height,9201.10.00.41
624,1.0,Grand pianos,9201.20.00
625,2.0,Used,9201.20.00.5
626,2.0,Other,9201.20.00.11
627,3.0,Containing a case measuring less than 152.40 cm inlength,9201.20.00.11
628,3.0,Containing a casemeasuring 152.40 cm or more but less than 167.64 cm in length,9201.20.00.21
629,3.0,Containing a case measuring 167.64 cm or more butless than 180.34 cm in length,9201.20.00.31
630,3.0,Containing a case measuring 180.34 cm or more but less than 195.58 cm in length,9201.20.00.41
631,3.0,Containing a casemeasuring 195.58 cm or more in length,9201.20.00.51
632,1.0,Other,9201.90.00
633,0.0,Other string musical instruments (for example &&  guitars &&  violins &&  harps),9202
634,1.0,Played with a bow,9202.10.00
635,1.0,Other,9202.90
636,2.0,Guitars,9202.90.20
637,3.0,Valued not over $100each &&  excluding the value of the case,9202.90.20
638,3.0,Other,9202.90.40
639,2.0,Other,9202.90.60
640,0.0,Wind musical instruments (for example &&  keyboard pipe organs &&  accordions &&  clarinets &&  trumpets &&  bagpipes) &&  other than fairground organs && mechanical street organs,9205
641,1.0,Brass-wind instruments,9205.10.00
642,2.0,Valued not over $10 each,9205.10.00.40
643,2.0,Valued over $10 each,9205.10.00.80
644,1.0,Other,9205.90
645,2.0,Keyboard pipe organs;harmoniums && similar keyboard instruments with free metal reeds,9205.90.12
646,3.0,Keyboard pipe organs,9205.90.12
647,3.0,Other,9205.90.14
648,2.0,Accordionsand similar instruments; mouth organs,9205.90.15
649,3.0,Accordions && similar instruments,9205.90.15
650,4.0,Piano accordions,9205.90.15
651,4.0,Other,9205.90.18
652,2.0,Mouth organs,9205.90.19
653,2.0,Woodwind instruments,9205.90.20
654,3.0,Bagpipes,9205.90.20
655,3.0,Other,9205.90.40
656,4.0,Clarinets,9205.90.40.20
657,4.0,Saxophones,9205.90.40.40
658,4.0,Flutes && piccolos (except bamboo),9205.90.40.60
659,4.0,Other,9205.90.40.80
660,2.0,Other,9205.90.60
661,0.0,Percussion musical instruments (for example &&  drums &&  xylophones && cymbals &&  castanets &&  maracas),9206.00
662,1.0,Drums,9206.00.20
663,1.0,Cymbals,9206.00.40
664,1.0,Sets of tuned bells known as chimes &&  peals or carillons,9206.00.60
665,1.0,Other,9206.00.80
666,0.0,Musical instruments &&  the sound of which is produced &&  or must be amplified && electrically (for example &&  organs &&  guitars &&  accordions),9207
667,1.0,Keyboard instruments &&  otherthan accordions,9207.10.00
668,2.0,Music synthesizers,9207.10.00.5
669,3.0,Valued under $100 each,9207.10.00.5
670,3.0,Valued $100 or over each,9207.10.00.10
671,2.0,Other,9207.10.00.45
672,3.0,With more than onekeyboard,9207.10.00.45
673,4.0,Valued under $200 each,9207.10.00.45
674,4.0,Valued $200 or over each,9207.10.00.55
675,3.0,With onekeyboard,9207.10.00.60
676,4.0,Hand-held,9207.10.00.60
677,4.0,Other,9207.10.00.65
678,5.0,Valued under $100 each,9207.10.00.65
679,5.0,Valued $100 or over each,9207.10.00.75
680,1.0,Other,9207.90.00
681,2.0,Fretted stringed instruments,9207.90.00.40
682,2.0,Other,9207.90.00.80
683,0.0,Musicboxes &&  fairground organs &&  mechanical street organs &&  mechanical singing birds &&  musical saws andother musical instruments not falling within any other heading of this chapter; decoy calls of allkinds; whistles &&  call horns && other mouth-blown sound signaling instruments,9208
684,1.0,Music boxes,9208.10.00
685,1.0,Other,9208.90.00
686,2.0,Musical instruments,9208.90.00.40
687,2.0,Other,9208.90.00.80
688,0.0,Parts (for example &&  mechanisms for music boxes) && accessories (for example &&  cards &&  discs androlls for mechanical instruments) of musical instruments; metronomes &&  tuning forks && pitchpipes of all kinds,9209
689,1.0,Musical instrumentstrings,9209.30.00
690,1.0,Other,9209.91
691,2.0,Partsand accessories for pianos,9209.91
692,3.0,Tuning pins,9209.91.40
693,3.0,Other,9209.91.80
694,2.0,Parts && accessories for the musical instruments of heading 9202,9209.92
695,3.0,Mutes &&  collapsible musical instrument standsand music holders for attachment to musical instruments,9209.92.20
696,3.0,Tuning pins,9209.92.40
697,3.0,Bows &&  parts of bows &&  bow hair &&  chin rests && other parts && accessories forstring instruments played with a bow,9209.92.60
698,3.0,Other,9209.92.80
699,2.0,Parts && accessories for the musical instruments of heading 9207,9209.94
700,3.0,Collapsible musical instrument stands,9209.94.40
701,3.0,Other,9209.94.80
702,2.0,Other,9209.99
703,3.0,Metronomes &&  tuning forks && pitch pipes,9209.99.05
704,3.0,Mutes formusical instruments; pedals &&  dampers && spurs for drums; pedals && holders for cymbals; lyres && other music holders forattachment to musical instruments; && collapsible stands for holdingmusic or for holding musical instruments,9209.99.10
705,3.0,Other,9209.99.16
706,4.0,For pipe organs of subheading 9205.90.12,9209.99.16
707,4.0,For instrutments of subheading 9205.90.14,9209.99.18
708,4.0,For bagpipes,9209.99.20
709,4.0,For other woodwind && brass wind musical instruments,9209.99.40
710,5.0,For woodwind musical instruments,9209.99.40.40
711,5.0,Other,9209.99.40.80
712,4.0,For music boxes,9209.99.61
713,4.0,Other,9209.99.80
714,0.0,Military weapons &&  other thanrevolvers &&  pistols && the arms of heading 9307,9301
715,1.0,Artillery weapons (for example &&  guns &&  howitzers && mortars),9301.10.00
716,2.0,Self propelled,9301.10.00.10
717,2.0,Other,9301.10.00.80
718,1.0,Rocket launchers; flame-throwers; grenade launchers;torpedo tubes && similar projectors,9301.20.00
719,1.0,Other,9301.90
720,2.0,Rifles,9301.90.30
721,3.0,Telescopic sights imported with rifles,9301.90.30.10
722,3.0,Rifles,9301.90.30.20
723,2.0,Shotguns,9301.90.60
724,2.0,Other,9301.90.90
725,3.0,Machine guns,9301.90.90.30
726,3.0,Other,9301.90.90.90
727,0.0,Revolvers && pistols &&  otherthan those of heading 9303 or 9304,9302.00.00
728,1.0,Revolvers,9302.00.00.20
729,1.0,Semiautomatic pistols,9302.00.00.40
730,1.0,Other,9302.00.00.90
731,0.0,Other firearms && similardevices which operate by the firing of an explosive charge (for example &&  sporting shot-guns andrifles &&  muzzle-loading firearms &&  Very pistols && other devices designed to project only signalflares &&  pistols && revolvers for firing blank ammunition &&  captive-bolt humane killers &&  line-throwing guns),9303
732,1.0,Muzzle-loading firearms,9303.10.00
733,1.0,Other sporting &&  hunting or target-shooting shotguns &&  including combination shotgun-rifles,9303.20.00
734,2.0,Shotguns,9303.20.00.20
735,3.0,Autoloading,9303.20.00.20
736,3.0,Pump action,9303.20.00.30
737,3.0,Over && under,9303.20.00.40
738,3.0,Other,9303.20.00.65
739,2.0,Combination shotgun-rifles,9303.20.00.80
740,1.0,Other sporting &&  hunting ortarget-shooting rifles,9303.30
741,2.0,Valued over $25 but not over $50 each,9303.30.40
742,3.0,Telescopic sights imported with rifles,9303.30.40.10
743,3.0,Rifles,9303.30.40.20
744,4.0,Centerfire,9303.30.40.20
745,4.0,Rimfire,9303.30.40.30
746,2.0,Other,9303.30.80
747,3.0,Telescopic sights imported with rifles,9303.30.80.5
748,3.0,Rifles,9303.30.80.10
749,4.0,Centerfire,9303.30.80.10
750,5.0,Autoloading,9303.30.80.10
751,5.0,Bolt action,9303.30.80.12
752,6.0,Single shot,9303.30.80.12
753,6.0,Other,9303.30.80.17
754,5.0,Other,9303.30.80.25
755,4.0,Rimfire,9303.30.80.30
756,1.0,Other,9303.90
757,2.0,Pistols && revolvers designed to fire onlyblank cartridges or blank ammunition,9303.90.40
758,2.0,Other,9303.90.80
759,0.0,Other arms (for example &&  spring &&  air or gas guns andpistols &&  truncheons) &&  excluding those of heading 9307,9304.00
760,1.0,Pistols &&  rifles && other guns which eject missiles byrelease of compressed air or gas &&  or by the release of a spring mechanism or rubber held undertension,9304.00.20
761,2.0,Rifles,9304.00.20
762,2.0,Other,9304.00.40
763,1.0,Other,9304.00.60
764,0.0,Parts && accessories of articles of headings 9301 to 9304,9305
765,1.0,Of revolvers or pistols,9305.10
766,2.0,Of heading 9302,9305.10.20
767,3.0,Frames && receivers,9305.10.20.10
768,3.0,Other,9305.10.20.80
769,2.0,Other,9305.10.40
770,3.0,Of revolvers or pistols designed to fire onlyblank cartridges or blank ammunition,9305.10.40
771,3.0,Of muzzle-loading revolvers && pistols,9305.10.60
772,3.0,Other,9305.10.80
773,1.0,Of shotguns or rifles of heading 9303,9305.20
774,2.0,Rifle stocks,9305.20.05
775,2.0,Other,9305.20.80
776,3.0,Shotgun barrels,9305.20.80.4
777,4.0,Of muzzle-loading shotguns,9305.20.80.4
778,4.0,Other,9305.20.80.8
779,3.0,Other parts of muzzle-loading shotguns or rifles,9305.20.80.20
780,3.0,Other,9305.20.80.31
781,4.0,Of shotguns &&  including shotgun-rifle combinations,9305.20.80.31
782,5.0,Stocks,9305.20.80.31
783,5.0,Other,9305.20.80.33
784,4.0,Of rifles,9305.20.80.60
785,1.0,Other,9305.91
786,2.0,Of military weapons of heading 9301,9305.91
787,3.0,Of rifles,9305.91.10
788,3.0,Of shotguns,9305.91.20
789,3.0,Other,9305.91.30
790,4.0,Of artillery weapons of 9301.11 or 9301.19,9305.91.30.10
791,4.0,Other,9305.91.30.30
792,2.0,Other,9305.99
793,3.0,Of articles of heading9303 other than shotguns or rifles,9305.99.40
794,3.0,Of articles of subheading 9304.00.20 or 9304.00.40,9305.99.50
795,4.0,Parts && accessories of paintball markers,9305.91.30.10
796,4.0,Other,9305.91.30.50
797,3.0,Other,9305.99.60
798,0.0,Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads,9306
799,1.0,Shotgun cartridges && partsthereof; air gun pellets,9306.21.00
800,2.0,Cartridges,9306.21.00
801,2.0,Other,9306.29.00
802,1.0,Other cartridges && parts thereof,9306.30
803,2.0,Cartridges && empty cartridge shells,9306.30.41
804,3.0,Cartridges containing a projectile,9306.30.41.10
805,4.0,For rifles or pistols,9306.30.41.10
806,5.0,.22 caliber,9306.30.41.10
807,5.0,Other,9306.30.41.20
808,4.0,Other,9306.30.41.30
809,3.0,Cartridges for rivetingor similar tools or for captive-bolt humane killers && parts thereof,9306.30.41.38
810,3.0,Emptycartridge shells,9306.30.41.40
811,4.0,For rifles or pistols,9306.30.41.40
812,4.0,Other,9306.30.41.50
813,3.0,Other,9306.30.41.60
814,2.0,Other,9306.30.80
815,1.0,Other,9306.90.00
816,2.0,Guided missiles,9306.90.00.20
817,2.0,Bombs &&  grenades && torpedoes &&  mines && similar munitions of war; other ammunition && projectiles,9306.90.00.40
818,2.0,Parts for guided missiles,9306.90.00.60
819,2.0,Parts for bombs &&  grenades &&  torpedoes &&  minesand similar munitions of war; parts of other ammunition && projectiles,9306.90.00.80
820,0.0,Swords &&  cutlasses &&  bayonets &&  lances andsimilar arms && parts thereof && scabbards && sheaths therefor,9307.00.00
821,0.0,Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof,9401
822,1.0,Seats of a kind used for aircraft,9401.10
823,2.0,Leather upholstered,9401.10.40
824,2.0,Other,9401.10.80
825,1.0,Seats of a kind used formotor vehicles,9401.20.00
826,1.0,Swivel seats with variable height adjustment,9401.30
827,2.0,With wooden frame,9401.30.40
828,2.0,Other,9401.30.80
829,3.0,Household,9401.30.80.10
830,3.0,Other,9401.30.80.30
831,1.0,Seats other than garden seats orcamping equipment &&  convertible into beds,9401.40.00
832,1.0,Seats of cane && osier &&  bamboo or similar materials,9401.51.00
833,2.0,Of bamboo or rattan,9401.51.00
834,2.0,Other,9401.59.00
835,1.0,Other seats &&  with wooden frames,9401.61
836,2.0,Upholstered,9401.61
837,3.0,Chairs,9401.61.20
838,4.0,Of teak,9401.61.20
839,5.0,Household,9401.61.20.10
840,5.0,Other,9401.61.20.30
841,4.0,Other,9401.61.40
842,5.0,Chairs for children &&  including highchairs,9401.61.40.1
843,5.0,Other household,9401.61.40.11
844,5.0,Other,9401.61.40.31
845,3.0,Other,9401.61.60
846,4.0,Stationary activity center for children,9401.61.60.1
847,4.0,Other seats for children,9401.61.60.5
848,4.0,Other household,9401.61.60.11
849,4.0,Other,9401.61.60.31
850,2.0,Other,9401.69
851,3.0,Bent-wood seats,9401.69.20
852,4.0,Household,9401.69.20.10
853,4.0,Other,9401.69.20.30
854,3.0,Other,9401.69.40
855,4.0,Chairs,9401.69.40
856,5.0,Of teak,9401.69.40
857,6.0,Household,9401.69.40.10
858,6.0,Other,9401.69.40.30
859,5.0,Other,9401.69.60
860,6.0,Chairs for children &&  including highchairs,9401.69.60.1
861,6.0,Other household,9401.69.60.11
862,6.0,Other,9401.69.60.31
863,4.0,Other,9401.69.80
864,5.0,Stationary activity center for children,9401.69.80.1
865,5.0,Other seats for children,9401.69.80.5
866,5.0,Other household,9401.69.80.11
867,5.0,Other,9401.69.80.31
868,1.0,Other seats &&  with metal frames,9401.71.00
869,2.0,Upholstered,9401.71.00
870,3.0,Highchairs && booster seats,9401.71.00.1
871,3.0,Infant walkers,9401.71.00.5
872,3.0,Bouncers with seats,9401.71.00.6
873,3.0,Swings for children,9401.71.00.7
874,3.0,Stationary activity center for children,9401.71.00.8
875,3.0,Other household,9401.71.00.11
876,3.0,Other,9401.71.00.31
877,2.0,Other,9401.79.00
878,3.0,Highchairs && booster seats,9401.79.00.1
879,3.0,Infant walkers,9401.79.00.2
880,3.0,Bouncers with seats,9401.79.00.3
881,3.0,Swings for children,9401.79.00.4
882,3.0,Stationary activity center for children,9401.79.00.6
883,4.0,Outdoor,9401.79.00.11
884,5.0,With textile covered cushions or textile seating or backingmaterial,9401.79.00.11
885,6.0,Household,9401.79.00.11
886,6.0,Other,9401.79.00.15
887,5.0,Other,9401.79.00.25
888,6.0,Household,9401.79.00.25
889,6.0,Other,9401.79.00.35
890,4.0,Other,9401.79.00.46
891,5.0,Household,9401.79.00.46
892,5.0,Other,9401.79.00.50
893,1.0,Other seats,9401.80
894,2.0,Of rubber or plastics,9401.80.20
895,3.0,Of reinforced or laminatedplastics,9401.80.20
896,4.0,Children's highchairs && booster seats except for motor vehicle; bath seats &&  infant walkers &&  bouncers with seats &&  swings for children,9401.80.20.1
897,4.0,Stationary activity center for children,9401.80.20.5
898,4.0,Other household,9401.80.20.11
899,4.0,Other,9401.80.20.31
900,3.0,Other,9401.80.40
901,4.0,Children's highchairs && booster seats except for motor vehicle; bath seats &&  infant walkers &&  bouncers with seats &&  swings for children,9401.80.40.1
902,4.0,Stationary activity center for children,9401.80.40.4
903,5.0,Outdoor,9401.80.40.6
904,6.0,With textilecovered cushions or textile seating or backing material,9401.80.40.6
905,7.0,Household,9401.80.40.6
906,7.0,Other,9401.80.40.15
907,6.0,Other,9401.80.40.26
908,7.0,Household,9401.80.40.26
909,7.0,Other,9401.80.40.35
910,5.0,Other,9401.80.40.46
911,2.0,Other,9401.80.60
912,4.0,With detachable hard-shell seat,9401.80.60.21
913,4.0,Other,9401.80.60.23
914,3.0,Stationary activity center for children,9401.80.60.24
915,3.0,Other seats for children,9401.80.60.25
916,3.0,Other household,9401.80.60.28
917,3.0,Other,9401.80.60.30
918,1.0,Parts,9401.90
919,2.0,Ofseats of a kind used for motor vehicles,9401.90.10
920,3.0,Ofleather &&  cut to shape,9401.90.10.10
921,3.0,Oftextile material &&  cut to shape,9401.90.10.20
922,3.0,Other,9401.90.10.85
923,2.0,Of bent-wood seats,9401.90.15
924,2.0,Other,9401.90.25
925,3.0,Of cane &&  osier &&  bamboo or similar materials,9401.90.25
926,4.0,Of rattan,9401.90.25.40
927,4.0,Other,9401.90.25.80
928,3.0,Of rubber or plastics,9401.90.35
929,4.0,For children's highchairs &&  booster seats except for motor vehicle && similar seats,9401.90.35.10
930,4.0,Other,9401.90.35.80
931,3.0,Of wood,9401.90.40
932,4.0,For children's highchairs &&  booster seats &&  && similar seats,9401.90.40.10
933,4.0,Other,9401.90.40.80
934,3.0,Other,9401.90.50
935,4.0,For children's highchairs &&  booster seats &&  && similar seats,9401.90.50.5
936,4.0,Other textile material &&  cut to shape,9401.90.50.21
937,4.0,Other,9401.90.50.81
938,0.0,Medical &&  surgical &&  dental orveterinary furniture (for example &&  operating tables &&  examination tables &&  hospital beds withmechanical fittings &&  dentists' chairs); barbers' chairs && similar chairs &&  having rotating as well asboth reclining && elevating movements; parts of the foregoing articles,9402
939,1.0,Dentists' &&  barbers' or similar chairs && parts thereof,9402.10.00
940,1.0,Other,9402.90.00
941,2.0,Hospital beds,9402.90.00.10
942,2.0,Other,9402.90.00.20
943,0.0,Other furniture && partsthereof,9403
944,1.0,Metal furniture of a kind used in offices,9403.10.00
945,2.0,Filing cabinets,9403.10.00.20
946,2.0,Other,9403.10.00.40
947,1.0,Other metal furniture,9403.20.00
948,2.0,Household,9403.20.00.11
949,3.0,Floor-standing &&  metal-top ironing boards,9403.20.00.11
950,4.0,Cribs,9403.20.00.16
951,4.0,Toddler beds &&  bassinets &&  cradles &&  play yards && other enclosures for confining children,9403.20.00.17
952,4.0,Other,9403.20.00.18
953,2.0,Other,9403.20.00.20
954,3.0,Counters &&  lockers &&  racks &&  display cases &&  shelves && partitions && similar fixtures,9403.20.00.20
955,3.0,Other,9403.20.00.30
956,1.0,Wooden furniture of a kindused in offices,9403.30
957,2.0,Bent-wood furniture,9403.30.40
958,2.0,Other,9403.30.80
959,1.0,Wooden furniture of a kind used in the kitchen,9403.40
960,2.0,Bent-wood furniture,9403.40.40
961,2.0,Other,9403.40.60
962,3.0,Designed for motorvehicle use,9403.40.60
963,3.0,Other,9403.40.90
964,4.0,Dining tables,9403.40.90.40
965,4.0,Cabinets designed for permanent installation,9403.40.90.60
966,4.0,Other,9403.40.90.80
967,1.0,Wooden furniture of a kind used in the bedroom,9403.50
968,2.0,Bent-wood furniture,9403.50.40
969,2.0,Other,9403.50.60
970,3.0,Designed for motorvehicle use,9403.50.60
971,3.0,Other,9403.50.90
972,5.0,Cribs,9403.50.90.41
