hs_code,Indent,Description,sc_names,full_desc,pos_kw,neg_kw,hscode_6
4409.22.05.55,5,Other,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] && [ Wood flooring (end-matched) ] && [ ![ Cumaru (Dipteryx spp.) &&  also known as Brazilian teak ] && ![ Santos' mahogany (Myroxylon balsamum) &&  also known as Cabreuva ] && ![ Ipe (Tabebuia spp.) &&  also known as Tahibo &&  LaPacho &&  Brazilian walnut &&  && Patagonian walnut ] && ![ Jatoba (Hymenaea spp.) &&  also known as Brazilian Cherry ] ] ],foregoing;wood flooring;joint;jointed;face;shape;parquet flooring;round;tongue;sand;end;assemble;mold;tropical wood;match;wood;edge;plane;Nonconiferous;strip;like;Wood,mahogany;Santos;Myroxylon balsamum;Ipe;brazilian walnut;Brazilian Cherry;Dipteryx spp;Cumaru;brazilian teak;Cabreuva;Tahibo;LaPacho;patagonian walnut;Jatoba;Hymenaea spp;Tabebuia spp,440922
4409.22.05.90,4,Other,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] && [ ![ Wood flooring (end-matched) ] ] ],end;wood;assemble;edge;mold;face;like;tropical wood;plane;foregoing;Wood;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,end;match;wood flooring,440922
,3,Other,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ],end;wood;assemble;edge;mold;face;like;tropical wood;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,end;edge;foregoing;face;plane;jointed;sand;Wood,
4409.22.10.00,4,Wood siding,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood siding ],end;wood;assemble;edge;mold;face;like;tropical wood;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,end;edge;foregoing;face;plane;jointed;sand;Wood,440922
4409.22.25.00,4,Wood flooring,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood flooring ],end;wood;assemble;edge;mold;face;like;tropical wood;plane;wood flooring;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,end;edge;foregoing;face;plane;jointed;sand;Wood,440922
,4,Wood moldings,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood moldings ],end;wood;assemble;edge;mold;face;like;tropical wood;plane;shape;parquet flooring;Nonconiferous;joint;jointed;wood molding;strip;round;tongue;sand,end;edge;foregoing;face;plane;jointed;sand;Wood,
4409.22.40.00,5,Standard wood moldings,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood moldings ] && [ Standard wood moldings ],joint;jointed;standard wood;face;shape;parquet flooring;round;tongue;sand;end;assemble;mold;tropical wood;wood;edge;plane;Nonconiferous;wood molding;strip;like;Wood molding,end;edge;foregoing;face;plane;jointed;sand;Wood,440922
4409.22.50.00,5,Other,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood moldings ] && [ ![ Standard wood moldings ] ] ],end;wood;assemble;edge;mold;face;like;tropical wood;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand;Wood molding,end;edge;foregoing;face;plane;wood molding;jointed;sand;Wood;standard wood,440922
,4,Wood dowel rods,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood dowel rods ],end;wood;assemble;edge;mold;face;like;tropical wood;plane;dowel rod;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;Wood dowel;sand,end;edge;foregoing;face;plane;jointed;sand;Wood,
4409.22.60.00,5,Plain,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood dowel rods ] && [ Plain ],joint;jointed;dowel rod;face;shape;parquet flooring;round;tongue;sand;end;assemble;mold;tropical wood;Wood dowel;wood;edge;plane;Nonconiferous;Plain;strip;like,end;edge;foregoing;face;plane;jointed;sand;Wood,440922
4409.22.65.00,5,Sanded &&  grooved or otherwise advanced in condition,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood dowel rods ] && [ Sanded &&  grooved or otherwise advanced in condition ],joint;jointed;dowel rod;face;shape;parquet flooring;round;tongue;sand;end;assemble;advanced;mold;tropical wood;Wood dowel;condition;wood;edge;plane;Nonconiferous;strip;like,end;edge;foregoing;face;plane;jointed;sand;Wood,440922
4409.22.90.00,4,Other,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ Of tropical wood ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ ![ Wood dowel rods ] && ![ Wood moldings ] && ![ Wood flooring ] && ![ Wood siding ] ] ],end;wood;assemble;edge;mold;face;like;tropical wood;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,end;edge;foregoing;dowel rod;wood flooring;face;wood;plane;wood molding;jointed;sand;Wood;wood dowel,440922
4409.29,2,Other,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ],end;wood;assemble;edge;mold;face;like;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,bamboo;tropical wood,440929
4409.29.06,3,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ],end;wood;assemble;edge;mold;face;like;foregoing;plane;Wood;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,bamboo;tropical wood,440929
4409.29.06.55,4,Wood flooring (end-matched),,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] && [ Wood flooring (end-matched) ],foregoing;wood flooring;joint;jointed;face;shape;parquet flooring;round;tongue;sand;end;assemble;mold;match;wood;edge;plane;Nonconiferous;strip;like;Wood,bamboo;tropical wood,440929
4409.29.06.65,4,Other,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] && [ ![ Wood flooring (end-matched) ] ] ],end;wood;assemble;edge;mold;face;like;foregoing;plane;Wood;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,end;bamboo;wood flooring;tropical wood;match,440929
,3,Other,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ],end;wood;assemble;edge;mold;face;like;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,end;edge;bamboo;foregoing;tropical wood;face;plane;jointed;sand;Wood,
4409.29.11.00,4,Wood siding,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood siding ],end;wood;assemble;edge;mold;face;like;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,end;edge;bamboo;foregoing;tropical wood;face;plane;jointed;sand;Wood,440929
4409.29.26,4,Wood flooring,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood flooring ],end;wood;assemble;edge;mold;face;like;wood flooring;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,end;edge;bamboo;foregoing;tropical wood;face;plane;jointed;sand;Wood,440929
4409.29.26.30,5,Maple (Acer spp.),Acer spp.,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood flooring ] && [ Maple (Acer spp.) ],end;wood;assemble;edge;mold;face;like;wood flooring;plane;shape;parquet flooring;Nonconiferous;joint;jointed;Acer spp;strip;round;tongue;sand;Maple,end;edge;bamboo;foregoing;tropical wood;face;plane;jointed;sand;Wood,440929
4409.29.26.50,5,Birch (Betula spp.) && beech (Fagus spp.),Fagus spp.;Betula spp.,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood flooring ] && [ Birch (Betula spp.) && beech (Fagus spp.) ],wood flooring;beech;joint;jointed;Betula spp;face;shape;parquet flooring;Birch;round;tongue;sand;end;assemble;mold;Fagus spp;wood;edge;plane;Nonconiferous;strip;like,end;edge;bamboo;foregoing;tropical wood;face;plane;jointed;sand;Wood,440929
4409.29.26.60,5,Other,,[ [ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood flooring ] && [ ![ Birch (Betula spp.) && beech (Fagus spp.) ] && ![ Maple (Acer spp.) ] ] ],end;wood;assemble;edge;mold;face;like;wood flooring;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,end;edge;bamboo;foregoing;tropical wood;face;beech;plane;Fagus spp;Acer spp;Birch;jointed;sand;Betula spp;Wood;Maple,440929
,4,Wood moldings,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood moldings ],end;wood;assemble;edge;mold;face;like;plane;shape;parquet flooring;Nonconiferous;joint;jointed;wood molding;strip;round;tongue;sand,end;edge;bamboo;foregoing;tropical wood;face;plane;jointed;sand;Wood,
4409.29.41.00,5,Standard wood moldings,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood moldings ] && [ Standard wood moldings ],end;wood;assemble;edge;mold;face;like;plane;shape;parquet flooring;Nonconiferous;joint;jointed;wood molding;strip;round;tongue;sand;Wood molding;standard wood,end;edge;bamboo;foregoing;tropical wood;face;plane;jointed;sand;Wood,440929
4409.29.51.00,5,Other,,[ [ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood moldings ] && [ ![ Standard wood moldings ] ] ],end;wood;assemble;edge;mold;face;like;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand;Wood molding,end;edge;bamboo;foregoing;tropical wood;face;plane;wood molding;jointed;sand;Wood;standard wood,440929
,4,Wood dowel rods,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood dowel rods ],end;wood;assemble;edge;mold;face;like;dowel rod;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;Wood dowel;sand,end;edge;bamboo;foregoing;tropical wood;face;plane;jointed;sand;Wood,
4409.29.61.00,5,Plain,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood dowel rods ] && [ Plain ],end;wood;assemble;edge;mold;face;like;dowel rod;plane;shape;parquet flooring;Nonconiferous;joint;jointed;Plain;strip;round;tongue;Wood dowel;sand,end;edge;bamboo;foregoing;tropical wood;face;plane;jointed;sand;Wood,440929
4409.29.66.00,5,Sanded &&  grooved or otherwise advanced in condition,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood dowel rods ] && [ Sanded &&  grooved or otherwise advanced in condition ],joint;jointed;dowel rod;face;shape;parquet flooring;round;tongue;sand;end;assemble;advanced;mold;condition;Wood dowel;wood;edge;plane;Nonconiferous;strip;like,end;edge;bamboo;foregoing;tropical wood;face;plane;jointed;sand;Wood,440929
4409.29.91.00,4,Other,,[ [ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Nonconiferous ] && [ ![ Of tropical wood ] && ![ Of bamboo ] ] ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ ![ Wood dowel rods ] && ![ Wood moldings ] && ![ Wood flooring ] && ![ Wood siding ] ] ],end;wood;assemble;edge;mold;face;like;plane;shape;parquet flooring;Nonconiferous;joint;jointed;strip;round;tongue;sand,end;edge;bamboo;foregoing;tropical wood;face;dowel rod;wood flooring;plane;wood;wood molding;jointed;sand;Wood;wood dowel,440929
4410,0,Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances,,[ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ],wood;orient strand;ligneous material;organic bind;example;resin;bind substance;strand board;similar board;waferboard;particle board;OSB,,4410
,1,Of wood,,[ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ] && [ Of wood ],wood;orient strand;ligneous material;organic bind;example;resin;bind substance;strand board;similar board;waferboard;particle board;OSB,,
4410.11.00,2,Particle board,,[ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ] && [ Of wood ] && [ Particle board ],wood;orient strand;ligneous material;organic bind;example;resin;bind substance;strand board;similar board;waferboard;Particle board;particle board;OSB,,441011
4410.11.00.10,3,Unworked or not further worked than sanded,,[ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ] && [ Of wood ] && [ Particle board ] && [ Unworked or not further worked than sanded ],wood;orient strand;ligneous material;work;organic bind;example;resin;bind substance;strand board;unworked;similar board;waferboard;Particle board;particle board;sand;OSB,,441011
4410.11.00.20,3,Surface-covered with melamine-impregnated paper,,[ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ] && [ Of wood ] && [ Particle board ] && [ Surface-covered with melamine-impregnated paper ],wood;orient strand;ligneous material;surface;impregnate paper;organic bind;example;resin;cover;bind substance;strand board;similar board;waferboard;Particle board;melamine;particle board;OSB,,441011
4410.11.00.30,3,Surface-covered with decorative laminates of plastic,,[ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ] && [ Of wood ] && [ Particle board ] && [ Surface-covered with decorative laminates of plastic ],decorative laminate;wood;orient strand;ligneous material;surface;plastic;organic bind;example;resin;cover;bind substance;strand board;similar board;waferboard;Particle board;particle board;OSB,,441011
4410.11.00.60,3,Other,,[ [ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ] && [ Of wood ] && [ Particle board ] && [ ![ Surface-covered with decorative laminates of plastic ] && ![ Surface-covered with melamine-impregnated paper ] && ![ Unworked or not further worked than sanded ] ] ],wood;orient strand;ligneous material;organic bind;example;resin;bind substance;strand board;similar board;waferboard;Particle board;particle board;OSB,decorative laminate;surface;plastic;impregnate paper;cover;unworked;melamine;work;sand,441011
4410.12.00,2,Oriented strand board (OSB),,[ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ] && [ Of wood ] && [ Oriented strand board (OSB) ],wood;orient strand;ligneous material;organic bind;example;resin;bind substance;strand board;similar board;waferboard;particle board;OSB,,441012
4410.12.00.10,3,Unworked or not further worked than sanded,,[ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ] && [ Of wood ] && [ Oriented strand board (OSB) ] && [ Unworked or not further worked than sanded ],wood;orient strand;ligneous material;work;organic bind;example;resin;bind substance;strand board;unworked;similar board;waferboard;particle board;sand;OSB,,441012
4410.12.00.20,3,Other,,[ [ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ] && [ Of wood ] && [ Oriented strand board (OSB) ] && [ ![ Unworked or not further worked than sanded ] ] ],wood;orient strand;ligneous material;organic bind;example;resin;bind substance;strand board;similar board;waferboard;particle board;OSB,work;unworked;sand,441012
4410.19.00,2,Other,,[ [ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ] && [ Of wood ] && [ ![ Oriented strand board (OSB) ] && ![ Particle board ] ] ],wood;orient strand;ligneous material;organic bind;example;resin;bind substance;strand board;similar board;waferboard;particle board;OSB,orient strand;particle board;OSB;strand board,441019
4410.19.00.10,3,Unworked or not further worked than sanded,,[ [ Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances ] && [ Of wood ] && [ ![ Oriented strand board (OSB) ] && ![ Particle board ] ] ] && [ Unworked or not further worked than sanded ],wood;orient strand;ligneous material;work;organic bind;example;resin;bind substance;strand board;unworked;similar board;waferboard;particle board;sand;OSB,orient strand;particle board;OSB;strand board,441019
