sc_name,genus,species,type,family
,Asteropeia,rhopaloides,,Asteropeiaceae
,Astronium,fraxinifolium,,Anacardiaceae
,Astronium,graveolens,,Anacardiaceae
,Astronium,lecointei,,Anacardiaceae
,Astronium,urundeuva,,Anacardiaceae
,Atherosperma,moschatum,,Atherospermataceae
,Aucoumea,klaineana,,Burseraceae
,Autranella,congolensis,,Sapotaceae
,Azadirachta,excelsa,,Meliaceae
,Azadirachta,indica,,Meliaceae
,Bagassa,guianensis,,Moraceae
,Baikiaea,insignis,,Leguminosae
,Baikiaea,plurijuga,,Leguminosae
,Baillonella,toxisperma,,Sapotaceae
,Balakata,baccata,,Euphorbiaceae
,Balakata,luzonica,,Euphorbiaceae
,Balanocarpus,heimii,,Dipterocarpaceae
,Balfourodendron,riedelianum,,Rutaceae
,Balmea,stormiae,,Rubiaceae
,Baphia,nitida,,Leguminosae
,Barringtonia,acutangula,,Lecythidaceae
,Bastardiopsis,densiflora,,Malvaceae
,Batesia,floribunda,,Leguminosae
,Beccariophoenix,madagascariensis,,Arecaceae
,Beilschmiedia,letouzeyi,,Lauraceae
,Beilschmiedia,mannii,,Lauraceae
,Beilschmiedia,tawa,,Lauraceae
,Beilschmiedia,velutina,,Lauraceae
,Berchemia,zeyheri,,Rhamnaceae
,Berlinia,auriculata,,Leguminosae
,Berlinia,bracteosa,,Leguminosae
,Berlinia,confusa,,Leguminosae
,Berlinia,grandiflora,,Leguminosae
,Bertholletia,excelsa,,Lecythidaceae
,Betula,alleghaniensis,,Betulaceae
,Betula,alnoides,,Betulaceae
,Betula,lenta,,Betulaceae
,Betula,maximowicziana,,Betulaceae
,Betula,nigra,,Betulaceae
,Betula,papyrifera,,Betulaceae
,Betula,pendula,,Betulaceae
,Betula,populifolia,,Betulaceae
,Betula,pubescens,,Betulaceae
,Betula,schmidtii,,Betulaceae
,Bischofia,javanica,,Phyllanthaceae
,Bixa,arborea,,Bixaceae
,Bixa,orellana,,Bixaceae
,Bobgunnia,fistuloides,,Leguminosae
,Bobgunnia,madagascariensis,,Leguminosae
,Bombax,brevicuspe,,Malvaceae
,Bombax,ceiba,,Malvaceae
,Borassus,flabellifer,,Arecaceae
,Bowdichia,nitida,,Leguminosae
,Bowdichia,virgilioides,,Leguminosae
,Brachylaena,huillensis,,Compositae
,Brachylaena,merana,,Compositae
,Brachylaena,ramiflora,,Compositae
,Brachystegia,cynometroides,,Leguminosae
,Brachystegia,eurycoma,,Leguminosae
,Brachystegia,laurentii,,Leguminosae
,Brachystegia,leonensis,,Leguminosae
,Brachystegia,mildbraedii,,Leguminosae
,Brachystegia,nigerica,,Leguminosae
,Brachystegia,spiciformis,,Leguminosae
,Brachystegia,zenkeri,,Leguminosae
,Breonadia,salicina,,Rubiaceae
,Breonia,madagascariensis,,Rubiaceae
,Breviea,sericea,,Sapotaceae
,Bridelia,grandis,,Phyllanthaceae
,Bridelia,micrantha,,Phyllanthaceae
,Brosimum,alicastrum,,Moraceae
,Brosimum,costaricanum,,Moraceae
,Brosimum,guianense,,Moraceae
,Brosimum,parinarioides,,Moraceae
,Brosimum,potabile,,Moraceae
,Brosimum,rubescens,,Moraceae
,Brosimum,utile,,Moraceae
,Buchanania,arborescens,,Anacardiaceae
,Buchanania,latifolia,,Anacardiaceae
,Buchenavia,tetraphylla,,Combretaceae
,Bucida,buceras,,Combretaceae
,Bulnesia,arborea,,Zygophyllaceae
,Bulnesia,carrapo,,Zygophyllaceae
,Bulnesia,sarmientoi,,Zygophyllaceae
,Burkea,africana,,Leguminosae
,Bursera,simaruba,,Burseraceae
,Buxus,macowanii,,Buxaceae
,Buxus,sempervirens,,Buxaceae
,Byrsonima,crassifolia,,Malpighiaceae
,Byrsonima,spicata,,Malpighiaceae
,Cabralea,cangerana,,Meliaceae
,Cabralea,canjerana,,Meliaceae
,Caesalpinia,echinata,,Leguminosae
,Caesalpinia,ferrea,,Leguminosae
,Caesalpinia,granadillo,,Leguminosae
,Caesalpinia,paraguariensis,,Leguminosae
,Caesalpinia,platyloba,,Leguminosae
,Calophyllum,brasiliense,,Clusiaceae
,Calophyllum,ferrugineum,,Clusiaceae
,Calophyllum,inophyllum,,Clusiaceae
,Calophyllum,papuanum,,Clusiaceae
,Calophyllum,peekelii,,Clusiaceae
,Calophyllum,tetrapterum,,Clusiaceae
,Calophyllum,tomentosum,,Clusiaceae
,Calophyllum,vitiense,,Clusiaceae
,Calpocalyx,heitzii,,Leguminosae
,Calycophyllum,candidissimum,,Rubiaceae
,Calycophyllum,multiflorum,,Rubiaceae
,Calycophyllum,spruceanum,,Rubiaceae
,Campnosperma,auriculatum,,Anacardiaceae
,Campnosperma,brevipetiolatum,,Anacardiaceae
,Campnosperma,coriaceum,,Anacardiaceae
,Campnosperma,montanum,,Anacardiaceae
,Campnosperma,panamense,,Anacardiaceae
,Campnosperma,squamatum,,Anacardiaceae
,Cananga,odorata,,Annonaceae
,Canarium,euphyllum,,Burseraceae
,Canarium,hirsutum,,Burseraceae
,Canarium,indicum,,Burseraceae
,Canarium,littorale,,Burseraceae
,Canarium,luzonicum,,Burseraceae
,Canarium,schweinfurtii,,Burseraceae
,Cantleya,corniculata,,Stemonuraceae
,Carallia,brachiata,,Rhizophoraceae
,Carapa,grandiflora,,Meliaceae
,Carapa,guianensis,,Meliaceae
,Carapa,procera,,Meliaceae
,Cardwellia,sublimis,,Proteaceae
,Cariniana,domestica,,Lecythidaceae
,Cariniana,estrellensis,,Lecythidaceae
,Cariniana,legalis,,Lecythidaceae
,Cariniana,pyriformis,,Lecythidaceae
,Carpinus,betulus,,Betulaceae
,Carpinus,caroliniana,,Betulaceae
,Carya,alba,,Juglandaceae
,Carya,aquatica,,Juglandaceae
,Carya,cordiformis,,Juglandaceae
,Carya,glabra,,Juglandaceae
,Carya,illinoinensis,,Juglandaceae
,Carya,laciniosa,,Juglandaceae
,Carya,myristiciformis,,Juglandaceae
,Carya,ovata,,Juglandaceae
,Caryocar,costaricense,,Caryocaraceae
,Caryocar,glabrum,,Caryocaraceae
,Caryocar,nuciferum,,Caryocaraceae
,Caryocar,villosum,,Caryocaraceae
,Caryota,urens,,Arecaceae
,Casearia,battiscombei,,Salicaceae
,Casearia,dallachyi,,Salicaceae
,Casearia,gossypiosperma,,Salicaceae
,Casearia,praecox,,Salicaceae
,Cassia,javanica,,Leguminosae
,Cassipourea,gummiflua,,Rhizophoraceae
,Cassipourea,malosana,,Rhizophoraceae
,Castanea,crenata,,Fagaceae
,Castanea,dentata,,Fagaceae
,Castanea,sativa,,Fagaceae
,Castanopsis,acuminatissima,,Fagaceae
,Castanopsis,argentea,,Fagaceae
,Castanopsis,cuspidata,,Fagaceae
,Castanopsis,javanica,,Fagaceae
,Castanopsis,tungurrut,,Fagaceae
,Castanospermum,australe,,Leguminosae
,Casuarina,cunninghamiana,,Casuarinaceae
,Casuarina,equisetifolia,,Casuarinaceae
,Catalpa,bignonioides,,Bignoniaceae
,Catalpa,speciosa,,Bignoniaceae
,Catostemma,commune,,Malvaceae
,Catostemma,fragrans,,Malvaceae
,Cavanillesia,platanifolia,,Malvaceae
,Cecropia,peltata,,Urticaceae
,Cecropia,sciadophylla,,Urticaceae
,Cedrela,angustifolia,,Meliaceae
,Cedrela,fissilis,,Meliaceae
,Cedrela,odorata,,Meliaceae
,Cedrela,serrata,,Meliaceae
,Cedrelinga,cateniformis,,Leguminosae
,Ceiba,pentandra,,Malvaceae
,Ceiba,samauma,,Malvaceae
,Ceiba,speciosa,,Malvaceae
,Celtis,adolfi-friderici,,Cannabaceae
,Celtis,laevigata,,Cannabaceae
,Celtis,laevigata,,Cannabaceae
,Celtis,laevigata,,Cannabaceae
,Celtis,mildbraedii,,Cannabaceae
,Celtis,occidentalis,,Cannabaceae
,Celtis,philippensis,,Cannabaceae
,Celtis,rigescens,,Cannabaceae
,Celtis,zenkeri,,Cannabaceae
,Centrolobium,ochroxylon,,Leguminosae
,Centrolobium,paraense,,Leguminosae
,Centrolobium,paraense,,Leguminosae
,Centrolobium,paraense,,Leguminosae
,Cephalosphaera,usambarensis,,Myristicaceae
,Ceratopetalum,succirubrum,,Cunoniaceae
,Cerbera,odollam,,Apocynaceae
,Cercidiphyllum,japonicum,,Cercidiphyllaceae
,Ceriops,tagal,,Rhizophoraceae
,Chamaecrista,apoucouita,,Leguminosae
,Chisocheton,pentandrus,,Meliaceae
,Chlorocardium,rodiei,,Lauraceae
,Chloroxylon,swietenia,,Rutaceae
,Chrysolepis,chrysophylla,,Fagaceae
,Chrysophyllum,africanum,,Sapotaceae
,Chrysophyllum,albidum,,Sapotaceae
,Chrysophyllum,beguei,,Sapotaceae
,Chrysophyllum,boivinianum,,Sapotaceae
,Gambeya,madagascariensis,,Sapotaceae
,Chrysophyllum,giganteum,,Sapotaceae
,Chrysophyllum,gonocarpum,,Sapotaceae
,Chrysophyllum,lacourtianum,,Sapotaceae
,Chrysophyllum,perpulchrum,,Sapotaceae
,Chrysophyllum,pomiferum,,Sapotaceae
,Chrysophyllum,sanguinolentum,,Sapotaceae
,Chrysophyllum,subnudum,,Sapotaceae
,Chukrasia,tabularis,,Meliaceae
,Cinnamomum,camphora,,Lauraceae
,Cinnamomum,iners,,Lauraceae
,Cinnamomum,porrectum,,Lauraceae
,Clarisia,racemosa,,Moraceae
,Clathrotropis,brachypetala,,Leguminosae
,Clathrotropis,macrocarpa,,Leguminosae
,Cleistopholis,glauca,,Annonaceae
,Cleistopholis,patens,,Annonaceae
,Cocos,nucifera,,Arecaceae
,Coelocaryon,preussii,,Myristicaceae
,Coelostegia,griffithii,,Malvaceae
,Cojoba,arborea,,Leguminosae
,Colophospermum,mopane,,Leguminosae
,Combretocarpus,rotundatus,,Anisophylleaceae
,Combretum,imberbe,,Combretaceae
,Conocarpus,erectus,,Combretaceae
,Copaifera,langsdorffii,,Leguminosae
,Copaifera,mildbraedii,,Leguminosae
,Copaifera,multijuga,,Leguminosae
,Copaifera,officinalis,,Leguminosae
,Copaifera,religiosa,,Leguminosae
,Copaifera,salikounda,,Leguminosae
,Cordia,africana,,Boraginaceae
,Cordia,alliodora,,Boraginaceae
,Cordia,americana,,Boraginaceae
,Cordia,collococca,,Boraginaceae
,Cordia,dichotoma,,Boraginaceae
,Cordia,suaveolens,,Boraginaceae
,Cordia,dodecandra,,Boraginaceae
,Cordia,elaeagnoides,,Boraginaceae
,Cordia,fragrantissima,,Boraginaceae
,Cordia,gerascanthus,,Boraginaceae
,Cordia,glabrata,,Boraginaceae
,Cordia,goeldiana,,Boraginaceae
,Cordia,millenii,,Boraginaceae
,Cordia,platythyrsa,,Boraginaceae
,Cordia,sebestena,,Boraginaceae
,Cordia,subcordata,,Boraginaceae
,Cordia,trichotoma,,Boraginaceae
,Cordyla,africana,,Leguminosae
,Cornus,florida,,Cornaceae
,Corylus,avellana,,Betulaceae
,Corylus,colurna,,Betulaceae
,Corymbia,citriodora,,Myrtaceae
,Corymbia,maculata,,Myrtaceae
,Cotylelobium,burckii,,Dipterocarpaceae
,Cotylelobium,lanceolatum,,Dipterocarpaceae
,Cotylelobium,melanoxylon,,Dipterocarpaceae
,Coula,edulis,,Olacaceae
,Couma,macrocarpa,,Apocynaceae
,Couratari,guianensis,,Lecythidaceae
,Couratari,macrosperma,,Lecythidaceae
,Couratari,multiflora,,Lecythidaceae
,Couratari,oblongifolia,,Lecythidaceae
,Couratari,stellata,,Lecythidaceae
,Couroupita,guianensis,,Lecythidaceae
,Couroupita,nicaraguarensis,,Lecythidaceae
,Crataegus,azarolus,,Rosaceae
,Crataegus,coccinea,,Rosaceae
,Crataegus,laevigata,,Rosaceae
,Crataegus,monogyna,,Rosaceae
,Crataegus,pinnatifida,,Rosaceae
,Cratoxylum,arborescens,,Hypericaceae
,Cratoxylum,formosum,,Hypericaceae
,Cratoxylon,formosum,,Hypericaceae
,Croton,megalocarpus,,Euphorbiaceae
,Ctenolophon,englerianus,,Ctenolophonaceae
,Ctenolophon,parvifolius,,Ctenolophonaceae
,Cylicodiscus,gabunensis,,Leguminosae
,Cynometra,alexandri,,Leguminosae
,Cynometra,ananta,,Leguminosae
,Cynometra,elmeri,,Leguminosae
,Cynometra,inaequifolia,,Leguminosae
,Cynometra,malaccensis,,Leguminosae
,Cynometra,mirabilis,,Leguminosae
,Cynometra,ramiflora,,Leguminosae
,Dacryodes,buettneri,,Burseraceae
,Dacryodes,excelsa,,Burseraceae
,Dacryodes,igaganga,,Burseraceae
,Dactylocladus,stenostachys,,Penaeaceae
,Dalbergia,bariensis,,Leguminosae
,Dalbergia,baronii,,Leguminosae
,Dalbergia,brownei,,Leguminosae
,Dalbergia,cambodiana,,Leguminosae
,Dalbergia,cearensis,,Leguminosae
,Dalbergia,cochinchinensis,,Leguminosae
,Dalbergia,congestiflora,,Leguminosae
,Dalbergia,cubilquitzensis,,Leguminosae
,Dalbergia,cultrata,,Leguminosae
,Dalbergia,cuscatlanica,,Leguminosae
,Dalbergia,decipularis,,Leguminosae
,Dalbergia,ecastaphyllum,,Leguminosae
,Dalbergia,frutescens,,Leguminosae
,Dalbergia,glabra,,Leguminosae
,Dalbergia,granadillo,,Leguminosae
,Dalbergia,greveana,,Leguminosae
,Dalbergia,latifolia,,Leguminosae
,Dalbergia,louvelii,,Leguminosae
,Dalbergia,madagascariensis,,Leguminosae
,Dalbergia,maritima,,Leguminosae
,Dalbergia,melanoxylon,,Leguminosae
,Dalbergia,monticola,,Leguminosae
,Dalbergia,nigra,,Leguminosae
,Dalbergia,oliveri,,Leguminosae
,Dalbergia,pervillei,,Leguminosae
,Dalbergia,retusa,,Leguminosae
,Dalbergia,rimosa,,Leguminosae
,Dalbergia,sissoides,,Leguminosae
,Dalbergia,sissoo,,Leguminosae
,Dalbergia,spruceana,,Leguminosae
,Dalbergia,stevensonii,,Leguminosae
,Dalbergia,tucurensis,,Leguminosae
,Daniella,thurifera,,Bignoniaceae
,Daniellia,klainei,,Bignoniaceae
,Daniellia,ogea,,Leguminosae
,Daniellia,thurifera,,Leguminosae
,Dendropanax,arboreus,,Araliaceae
,Dendropanax,cuneatus,,Araliaceae
,Desmodium,oojeinense,,Leguminosae
,Detarium,macrocarpum,,Leguminosae
,Detarium,senegalense,,Leguminosae
,Dialium,cochinchinense,,Leguminosae
,Dialium,dinklagei,,Leguminosae
,Dialium,guianense,,Leguminosae
,Dialium,indum,,Leguminosae
,Dialium,kunstleri,,Leguminosae
,Dialium,patens,,Leguminosae
,Dialium,platysepalum,,Leguminosae
,Dialium,procerum,,Leguminosae
,Dicorynia,guianensis,,Leguminosae
,Dicorynia,paraensis,,Leguminosae
,Didelotia,africana,,Leguminosae
,Didelotia,brevipaniculata,,Leguminosae
,Didelotia,idae,,Leguminosae
,Didelotia,letouzeyi,,Leguminosae
,Dillenia,excelsa,,Dilleniaceae
,Dillenia,indica,,Dilleniaceae
,Dillenia,luzoniensis,,Dilleniaceae
,Dillenia,ovata,,Dilleniaceae
,Dillenia,papuana,,Dilleniaceae
,Dillenia,pentagyna,,Dilleniaceae
,Dillenia,philippinensis,,Dilleniaceae
,Dillenia,pulchella,,Dilleniaceae
,Dillenia,reticulata,,Dilleniaceae
,Dillenia,salomonensis,,Dilleniaceae
,Dillenia,schlechteri,,Dilleniaceae
,Dimocarpus,longan,,Sapindaceae
,Dimorphandra,polyandra,,Leguminosae
,Dinizia,excelsa,,Leguminosae
,Diospyros,celebica,,Ebenaceae
,Diospyros,crassiflora,,Ebenaceae
,Diospyros,discolor,,Ebenaceae
,Diospyros,ebenum,,Ebenaceae
,Diospyros,gracilipes,,Ebenaceae
,Diospyros,insularis,,Ebenaceae
,Diospyros,korthalsiana,,Ebenaceae
,Diospyros,kurzii,,Ebenaceae
,Diospyros,lotus,,Ebenaceae
,Diospyros,marmorata,,Ebenaceae
,Diospyros,melanoxylon,,Ebenaceae
,Diospyros,mespiliformis,,Ebenaceae
,Diospyros,mindanaensis,,Ebenaceae
,Diospyros,mollis,,Ebenaceae
,Diospyros,perrieri,,Ebenaceae
,Diospyros,pyrrhocarpa,,Ebenaceae
,Diospyros,toxicaria,,Ebenaceae
,Diospyros,vera,,Ebenaceae
,Diospyros,virginiana,,Ebenaceae
,Diplodiscus,paniculatus,,Malvaceae
,Diplotropis,martiusii,,Leguminosae
,Diplotropis,purpurea,,Leguminosae
,Dipterocarpus,acutangulus,,Dipterocarpaceae
,Dipterocarpus,alatus,,Dipterocarpaceae
,Dipterocarpus,basilanicus,,Dipterocarpaceae
,Dipterocarpus,baudii,,Dipterocarpaceae
,Dipterocarpus,borneensis,,Dipterocarpaceae
,Dipterocarpus,caudiferus,,Dipterocarpaceae
,Dipterocarpus,costulatus,,Dipterocarpaceae
,Dipterocarpus,grandiflorus,,Dipterocarpaceae
,Dipterocarpus,kerrii,,Dipterocarpaceae
,Dipterocarpus,lowii,,Dipterocarpaceae
,Dipterocarpus,retusus,,Dipterocarpaceae
,Dipterocarpus,tonkinensis,,Dipterocarpaceae
,Dipterocarpus,validus,,Dipterocarpaceae
,Dipterocarpus,verrucosus,,Dipterocarpaceae
,Dipteryx,odorata,,Leguminosae
,Dipteryx,oleifera,,Leguminosae
,Dipteryx,panamensis,,Leguminosae
,Distemonanthus,benthamianus,,Leguminosae
,Doryphora,sassafras,,Atherospermataceae
,Dracontomelon,costatum,,Anacardiaceae
,Dracontomelon,dao,,Anacardiaceae
,Dracontomelon,lenticulatum,,Anacardiaceae
,Drimys,winteri,,Winteraceae
,Dryobalanops,beccarii,,Dipterocarpaceae
,Dryobalanops,lanceolata,,Dipterocarpaceae
,Dryobalanops,oblongifolia,,Dipterocarpaceae
,Dryobalanops,sumatrensis,,Dipterocarpaceae
,Drypetes,gossweileri,,Putranjivaceae
,Duabanga,grandiflora,,Lythraceae
,Duabanga,moluccana,,Lythraceae
,Duguetia,confinis,,Annonaceae
,Duguetia,staudtii,,Annonaceae
,Durio,griffithii,,Malvaceae
,Durio,lowianus,,Malvaceae
,Durio,oxleyanus,,Malvaceae
,Durio,wyatt-smithii,,Malvaceae
,Durio,zibethinus,,Malvaceae
,Dyera,costulata,,Apocynaceae
,Dyera,polyphylla,,Apocynaceae
,Dypsis,decaryi,,Arecaceae
,Neodypsis,decaryi,,Arecaceae
,Dypsis,decipiens,,Arecaceae
,Chrysalidocarpus,decipiens,,Arecaceae
,Dysoxylum,alliaceum,,Meliaceae
,Dysoxylum,euphlebium,,Meliaceae
,Dysoxylum,fraserianum,,Meliaceae
,Dysoxylum,malabaricum,,Meliaceae
,Ecclinusa,guianensis,,Sapotaceae
,Ecclinusa,lanceolata,,Sapotaceae
,Ekebergia,capensis,,Meliaceae
,Elaeagnus,angustifolia,,Elaeagnaceae
,Elateriospermum,tapos,,Euphorbiaceae
,Endiandra,laxiflora,,Lauraceae
,Endiandra,palmerstonii,,Lauraceae
,Endocomia,macrocoma,,Myristicaceae
,Endopleura,uchi,,Humiriaceae
,Endospermum,diadenum,,Euphorbiaceae
,Endospermum,macrophyllum,,Euphorbiaceae
,Endospermum,medullosum,,Euphorbiaceae
,Endospermum,moluccanum,,Euphorbiaceae
,Endospermum,peltatum,,Euphorbiaceae
,Engelhardtia,roxburghiana,,Juglandaceae
,Entandrophragma,angolense,,Meliaceae
,Entandrophragma,candollei,,Meliaceae
,Entandrophragma,congoense,,Meliaceae
,Entandrophragma,cylindricum,,Meliaceae
,Entandrophragma,utile,,Meliaceae
,Enterolobium,contortisiliquum,,Leguminosae
,Enterolobium,cyclocarpum,,Leguminosae
,Enterolobium,schomburgkii,,Leguminosae
,Enterolobium,timbouva,,Leguminosae
,Eperua,falcata,,Leguminosae
,Eperua,grandiflora,,Leguminosae
,Eperua,jenmanii,,Leguminosae
,Eperua,rubiginosa,,Leguminosae
,Eriotheca,globosa,,Malvaceae
,Erisma,calcaratum,,Vochysiaceae
,Erisma,lanceolatum,,Vochysiaceae
,Erisma,nitidum,,Vochysiaceae
,Erisma,uncinatum,,Vochysiaceae
,Erythrophleum,ivorense,,Leguminosae
,Erythrophleum,suaveolens,,Leguminosae
,Erythroxylum,mannii,,Erythroxylaceae
,Eschweilera,sagotiana,,Lecythidaceae
,Eucalyptus,alba,,Myrtaceae
,Eucalyptus,astringens,,Myrtaceae
,Eucalyptus,bridgesiana,,Myrtaceae
,Eucalyptus,camaldulensis,,Myrtaceae
,Eucalyptus,cloeziana,,Myrtaceae
,Eucalyptus,coolabah,,Myrtaceae
,Eucalyptus,deglupta,,Myrtaceae
,Eucalyptus,delegatensis,,Myrtaceae
,Eucalyptus,diversicolor,,Myrtaceae
,Eucalyptus,dives,,Myrtaceae
,Eucalyptus,eugenioides,,Myrtaceae
,Eucalyptus,globoidea,,Myrtaceae
,Eucalyptus,globulus,,Myrtaceae
,Eucalyptus,globulus,,Myrtaceae
,Eucalyptus,maidenii,,Myrtaceae
,Eucalyptus,grandis,,Myrtaceae
,Eucalyptus,longifolia,,Myrtaceae
,Eucalyptus,marginata,,Myrtaceae
,Eucalyptus,melliodora,,Myrtaceae
,Eucalyptus,moluccana,,Myrtaceae
,Eucalyptus,nitens,,Myrtaceae
,Eucalyptus,obliqua,,Myrtaceae
,Eucalyptus,paniculata,,Myrtaceae
,Eucalyptus,papuana,,Myrtaceae
,Eucalyptus,pilularis,,Myrtaceae
,Eucalyptus,regnans,,Myrtaceae
,Eucalyptus,resinifera,,Myrtaceae
,Eucalyptus,robusta,,Myrtaceae
,Eucalyptus,socialis,,Myrtaceae
,Eucalyptus,tereticornis,,Myrtaceae
,Eucryphia,cordifolia,,Cunoniaceae
,Eucryphia,lucida,,Cunoniaceae
,Euroschinus,vieillardii,,Anacardiaceae
,Eusideroxylon,melagangai,,Lauraceae
,Eusideroxylon,zwageri,,Lauraceae
,Euxylophora,paraensis,,Rutaceae
,Exbucklandia,populnea,,Hamamelidaceae
,Excoecaria,agallocha,,Euphorbiaceae
,Exostema,caribaeum,,Rubiaceae
,Fagaropsis,angolensis,,Rutaceae
,Fagraea,crenulata,,Gentianaceae
,Fagraea,elliptica,,Gentianaceae
,Fagraea,fragrans,,Gentianaceae
,Fagraea,gracilipes,,Gentianaceae
,Fagus,grandifolia,,Fagaceae
,Fagus,sylvatica,,Fagaceae
,Falcataria,moluccana,,Leguminosae
,Falconeria,insignis,,Euphorbiaceae
,Sapium,insigne,,Euphorbiaceae
,Ficus,coerulescens,,Moraceae
,Ficus,killipii,,Moraceae
,Ficus,crassiuscula,,Moraceae
,Ficus,hartwegii,,Moraceae
,Ficus,insipida,,Moraceae
,Ficus,mathewsii,,Moraceae
,Ficus,nymphaeifolia,,Moraceae
,Ficus,anguina,,Moraceae
,Ficus,obliqua,,Moraceae
,Ficus,eugenioides,,Moraceae
,Ficus,pertusa,,Moraceae
,Ficus,subandina,,Moraceae
,Ficus,trigona,,Moraceae
,Ficus,watkinsiana,,Moraceae
,Fillaeopsis,discophora,,Leguminosae
,Fleroya,ledermannii,,Rubiaceae
,Fleroya,stipulosa,,Rubiaceae
,Flindersia,australis,,Rutaceae
,Flindersia,brayleyana,,Rutaceae
,Flindersia,ifflaiana,,Rutaceae
,Flindersia,pimenteliana,,Rutaceae
,Flindersia,schottiana,,Rutaceae
,Frangula,alnus,,Rhamnaceae
,Rhamnus,frangula,,Rhamnaceae
,Frangula,purshiana,,Rhamnaceae
,Fraxinus,americana,,Oleaceae
,Fraxinus,excelsior,,Oleaceae
,Fraxinus,latifolia,,Oleaceae
,Fraxinus,mandshurica,,Oleaceae
,Fraxinus,nigra,,Oleaceae
,Fraxinus,ornus,,Oleaceae
,Fraxinus,pennsylvanica,,Oleaceae
,Fraxinus,profunda,,Oleaceae
,Fraxinus,quadrangulata,,Oleaceae
,Funtumia,africana,,Apocynaceae
,Garcinia,cowa,,Clusiaceae
,Garuga,pinnata,,Burseraceae
,Geissois,benthamiana,,Cunoniaceae
,Geissois,biagiana,,Cunoniaceae
,Genipa,americana,,Rubiaceae
,Gilbertiodendron,brachystegioides,,Leguminosae
,Gilbertiodendron,dewevrei,,Leguminosae
,Gilbertiodendron,mayombense,,Leguminosae
,Gilbertiodendron,preussii,,Leguminosae
,Gleditsia,triacanthos,,Leguminosae
,Gluta,curtisii,,Anacardiaceae
,Gluta,papuana,,Anacardiaceae
,Gluta,renghas,,Anacardiaceae
,Gluta,tourtour,,Anacardiaceae
,Gluta,wallichii,,Anacardiaceae
,Glycydendron,amazonicum,,Euphorbiaceae
,Gmelina,arborea,,Lamiaceae
,Gmelina,fasciculiflora,,Lamiaceae
,Gmelina,leichardtii,,Lamiaceae
,Gmelina,moluccana,,Lamiaceae
,Gonioma,kamassi,,Apocynaceae
,Gonystylus,bancanus,,Thymelaeaceae
,Gonystylus,forbesii,,Thymelaeaceae
,Gonystylus,macrophyllus,,Thymelaeaceae
,Gossweilerodendron,balsamiferum,,Leguminosae
,Gossweilerodendron,joveri,,Leguminosae
,Goupia,glabra,,Goupiaceae
,Grevillea,robusta,,Proteaceae
,Grevillea,striata,,Proteaceae
,Grewia,eriocarpa,,Malvaceae
,Grewia,elastica,,Malvaceae
,Guaiacum,coulteri,,Zygophyllaceae
,Guaiacum,officinale,,Zygophyllaceae
,Guaiacum,sanctum,,Zygophyllaceae
,Guarea,cedrata,,Meliaceae
,Guarea,glabra,,Meliaceae
,Guarea,excelsa,,Meliaceae
,Guarea,guidonia,,Meliaceae
,Guarea,laurentii,,Meliaceae
,Guarea,thompsonii,,Meliaceae
,Guazuma,ulmifolia,,Malvaceae
,Guibourtia,arnoldiana,,Leguminosae
,Guibourtia,coleosperma,,Leguminosae
,Guibourtia,conjugata,,Leguminosae
,Guibourtia,demeusei,,Leguminosae
,Guibourtia,ehie,,Leguminosae
,Guibourtia,pellegriniana,,Leguminosae
,Guibourtia,schliebenii,,Leguminosae
,Guibourtia,tessmannii,,Leguminosae
,Gymnanthes,lucida,,Euphorbiaceae
,Gymnocladus,dioica,,Leguminosae
,Haematoxylum,campechianum,,Leguminosae
,Haldina,cordifolia,,Rubiaceae
,Hamamelis,virginiana,,Hamamelidaceae
,Handroanthus,capitatus,,Bignoniaceae
,Tabebuia,capitata,,Bignoniaceae
,Handroanthus,guayacan,,Bignoniaceae
,Handroanthus,heptaphyllus,,Bignoniaceae
,Handroanthus,serratifolius,,Bignoniaceae
,Haplormosia,monophylla,,Leguminosae
,Hardwickia,binata,,Leguminosae
,Harpullia,arborea,,Sapindaceae
,Harungana,madagascariensis,,Hypericaceae
,Hazomalania,voyronii,,Hernandiaceae
,Hernandia,voyronii,,Hernandiaceae
,Helicostylis,tomentosa,,Moraceae
,Heliocarpus,americanus,,Malvaceae
,Heliocarpus,popayanensis,,Malvaceae
,Heritiera,borneensis,,Malvaceae
,Heritiera,densiflora,,Malvaceae
,Heritiera,elata,,Malvaceae
,Heritiera,javanica,,Malvaceae
,Heritiera,littoralis,,Malvaceae
,Heritiera,ornithocephala,,Malvaceae
,Heritiera,simplicifolia,,Malvaceae
,Hevea,brasiliensis,,Euphorbiaceae
,Hibiscus,elatus,,Malvaceae
,Hibiscus,lasiococcus,,Malvaceae
,Hibiscus,tilliaceus,,Malvaceae
,Hieronyma,alchorneoides,,Phyllanthaceae
,Hieronyma,oblonga,,Phyllanthaceae
,Holoptelea,grandis,,Ulmaceae
,Homalium,bhamoense,,Salicaceae
,Homalium,foetidum,,Salicaceae
,Homalium,le-testui,,Salicaceae
,Homalium,longifolium,,Salicaceae
,Hopea,acuminata,,Dipterocarpaceae
,Hopea,beccariana,,Dipterocarpaceae
,Hopea,dryobalanoides,,Dipterocarpaceae
,Hopea,ferrea,,Dipterocarpaceae
,Hopea,forbesii,,Dipterocarpaceae
,Hopea,foxworthyi,,Dipterocarpaceae
,Hopea,helferi,,Dipterocarpaceae
,Hopea,iriana,,Dipterocarpaceae
