HTS Number,Indent,Description
0808.40.40.15,3,Certified organic
0808.40.40.25,3,Other
0809,0,Apricots &&  cherries &&  peaches (including nectarines) &&  plums (including prune plums) && sloes &&  fresh
0809.10,1,Apricots
0809.10,1,Cherries
0809.21,2,Sour cherries (<i>Prunus cerasus</i>)
0809.29,2,Other
0809.30,1,Peaches &&  including nectarines
0809.30.20,2,If entered during the period from June 1 to November 30 &&  inclusive &&  in any year
0809.30.40,2,If entered at any other time
0809.30.40.10,3,Peaches
0809.30.40.90,3,Nectarines
0809.40,1,Plums (including prune plums) && sloes
0809.40.20,2,If entered during the period from January 1 to May 31 &&  inclusive &&  in any year
0809.40.40,2,If entered at any other time
0810,0,Other fruit &&  fresh
0810.10,1,Strawberries
0810.10.20,2,If entered during the period from June 15 to September 15 &&  inclusive &&  in any year
0810.10.40,2,If entered at any other time
0810.20,1,Raspberries &&  blackberries &&  mulberries && loganberries
0810.20.10,2,Raspberries && loganberries entered during the period from September 1 in any year to June 30 of the following year
0810.20.10,3,Raspberries
0810.20.10.22,4,Raspberries packed in units weighing (with the immediate container &&  if any) not more than 5.0 kg
0810.20.10.24,4,Other
0810.20.10.40,3,Other
0810.20.90,2,Other
0810.20.90,3,Raspberries
0810.20.90.22,4,Raspberries packed in units weighing (with the immediate container &&  if any) not more than 5.0 kg
0810.20.90.24,4,Other
0810.20.90.30,3,Blackberries
0810.20.90.90,3,Other
0810.30,1,Black &&  white or red currants && gooseberries (other than kiwifruit)
0810.40,1,Cranberries &&  blueberries && other fruits of the genus <i>Vaccinium</i>
0810.40,2,Blueberries
0810.40.00.24,3,Wild
0810.40.00.24,3,Cultivated (including highbush)
0810.40.00.26,4,Certified organic
0810.40.00.29,4,Other
0810.40.00.30,2,Cranberries
0810.40.00.40,2,Other
0810.50,1,Kiwifruit
0810.60,1,Durians
0810.70,1,Persimmons
0810.90,1,Other
0810.90.27,2,Other berries; tamarinds
0810.90.27.30,3,Tamarinds
0810.90.27.60,3,Berries
0810.90.46,2,Other
0811,0,Fruit && nuts &&  uncooked or cooked by steaming or boiling in water &&  frozen &&  whether or not containing added sugar or other sweetening matter
0811.10,1,Strawberries
0811.10.00.20,2,In immediate containers each holding not more than 1.2 liters
0811.10.00.20,2,In immediate containers each holding more than 1.2 liters
0811.10.00.20,3,Containing cane and/or beet sugar
0811.10.00.50,4,Not more than 25 percent by weight
0811.10.00.60,4,More than 25 percent by weight
0811.10.00.70,3,Other
0811.20,1,Raspberries &&  blackberries &&  mulberries &&  loganberries &&  black &&  white or red currants && gooseberries (other than kiwi fruit)
0811.20.20,2,Raspberries &&  loganberries &&  black currants && gooseberries (other than kiwi fruit)
0811.20.20,3,Raspberries
0811.20.20.25,4,Red Raspberries
0811.20.20.35,4,Other
0811.20.20.40,3,Other
0811.20.40,2,Other
0811.20.40.30,3,Blackberries
0811.20.40.90,3,Other
0811.90,1,Other
0811.90.10,2,Bananas && plantains
0811.90.20,2,Blueberries
0811.90.20.24,3,Wild
0811.90.20.24,3,Cultivated (Including highbush)
0811.90.20.30,4,Certified organic
0811.90.20.40,4,Other
0811.90.22,2,Boysenberries
0811.90.25,2,Cashew apples &&  mameyes colorados &&  sapodillas &&  soursops && sweetsops
0811.90.30,2,Coconut meat
0811.90.35,2,Cranberries (<i>Vaccinium macrocarpum</i>)
0811.90.40,2,Papayas
0811.90.50,2,Pineapples
0811.90.52,2,Mangoes
0811.90.55,2,Melons
0811.90.80,2,Other
0811.90.80,3,Cherries
0811.90.80.40,4,Sweet varieties
0811.90.80.60,4,Tart varieties
0811.90.80.85,3,Frozen mixes only of combinations of strawberries &&  blueberries &&  red raspberries or blackberries
0811.90.80.95,3,Other
0812,0,Fruit && nuts &&  provisionally preserved (for example &&  by sulfur dioxide gas &&  in brine &&  in sulfur water or in other preservative solutions) &&  but unsuitable in that state for immediate consumption
0812.10,1,Cherries
0812.90,1,Other
0812.90.10,2,Mixtures of two or more fruits
0812.90.10,2,Other
0812.90.20,3,Citrus
0812.90.30,3,Figs
0812.90.40,3,Pineapples
0812.90.50,3,Strawberries
0812.90.90,3,Other
0813,0,Fruit &&  dried &&  other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter
0813.10,1,Apricots
0813.20,1,Prunes
0813.20.10,2,Soaked in brine && dried
0813.20.20,2,Other
0813.30,1,Apples
0813.40,1,Other fruit
0813.40.10,2,Papayas
0813.40.10,2,Berries
0813.40.15,3,Barberries
0813.40.20,3,Other
0813.40.20.10,4,Wild blueberries
0813.40.20.20,4,Cultivated (including highbush) blueberries
0813.40.20.60,4,Other
0813.40.30,2,Cherries
0813.40.40,2,Peaches
0813.40.80,2,Tamarinds
0813.40.90,2,Other
0813.50,1,Mixtures of nuts or dried fruits of this chapter
0813.50.00.20,2,Containing only fruit
0813.50.00.40,2,Containing only nuts
0813.50.00.60,2,Other
0814,0,Peel of citrus fruit or melons (including watermelons) &&  fresh &&  frozen &&  dried or provisionally preserved in brine &&  in sulfur water or in other preservative solutions
0814.00.10,1,Orange or citron
0814.00.40,1,Lime
0814.00.80,1,Other
0901,0,Coffee &&  whether or not roasted or decaffeinated; coffee husks && skins; coffee substitutes containing coffee in any proportion
0901,1,Coffee &&  not roasted
0901.11,2,Not decaffeinated
0901.11,3,Arabica
0901.11.00.15,4,Certified Organic
0901.11.00.25,4,Other
0901.11,3,Other
0901.11.00.45,4,Certified Organic
0901.11.00.55,4,Other
0901.12,2,Decaffeinated
0901.12.00.15,3,Certified Organic
0901.12.00.25,3,Other
0901,1,Coffee &&  roasted
0901.21,2,Not decaffeinated
0901.21,3,In retail containers weighing 2 kg or less
0901.21.00.35,4,Certified Organic
0901.21.00.45,4,Other
0901.21,3,Other
0901.21.00.55,4,Certified Organic
0901.21.00.65,4,Other
0901.22,2,Decaffeinated
0901.22,3,In retail containers weighing 2 kg or less
0901.22.00.35,4,Certified Organic
0901.22.00.45,4,Other
0901.22.00.60,3,Other
0901.90,1,Other
0901.90.10,2,Coffee husks && skins
0901.90.20,2,Coffee substitutes containing coffee
0902,0,Tea &&  whether or not flavored
0902.10,1,Green tea (not fermented) in immediate packings of a content not exceeding 3 kg
0902.10.10,2,Flavored
0902.10.10.15,3,Certified Organic
0902.10.10.50,3,Other
0902.10.90,2,Other
0902.10.90.15,3,Certified Organic
0902.10.90.50,3,Other
0902.20,1,Other green tea (not fermented)
0902.20.10,2,Flavored
0902.20.90,2,Other
0902.20.90.15,3,Certified Organic
0902.20.90.50,3,Other
0902.30,1,Black tea (fermented) && partly fermented tea &&  in immediate packings of a content not exceeding 3 kg
0902.30,2,In tea bags
0902.30.00.15,3,Certified Organic
0902.30.00.50,3,Other
0902.30.00.90,2,Other
0902.40,1,Other black tea (fermented) && other partly fermented tea
0903,0,Maté
0904,0,Pepper of the genus <i>Piper</i>; dried or crushed or ground fruits of the genus <i>Capsicum</i> (peppers) or of the genus <i>Pimenta</i> (e.g. &&  allspice): <i></i><i> </i>
0904,1,Pepper of the genus <i>Piper</i>
0904.11,2,Neither crushed nor ground
0904.11.00.20,3,Black
0904.11.00.40,3,White
0904.12,2,Crushed or ground
0904,1,Fruits of the genus <i>Capsicum</i> or of the genus <i>Pimenta</i>
0904.21,2,Dried &&  neither crushed nor ground
0904.21,3,"<span style=""line-height: normal;"">Of the genus </span><i style=""line-height: normal;"">Capsicum</i><span style=""line-height: normal;""> (including cayenne pepper &&  paprika && red pepper):</span>"
0904.21.20,4,Paprika
0904.21.40,4,Anaheim && ancho pepper
0904.21.60,4,Other
0904.21.60.10,5,Bell peppers
0904.21.60.20,5,Jalapeno peppers
0904.21.60.90,5,Other
0904.21.80,3,Of the genus <i>Pimenta</i> (including allspice)
0904.22,2,Crushed or ground
0904.22,3,Of the genus Capsicum (including cayenne Pepper &&  paprika && red pepper)
0904.22.20,4,Paprika
0904.22.40,4,Anaheim && ancho pepper
0904.22.73,4,Mixtures of mashed or macerated hot red peppers && salt
0904.22.76,4,Other
0904.22.80,3,Of the genus <i>Pimenta</i> (including allspice)
0905,0,Vanilla
0905.10,1,Neither crushed nor ground
0905.20,1,Crushed or ground
0906,0,Cinnamon && cinnamon-tree flowers
0906,1,Neither crushed nor ground
0906.11,2,Cinnamon (<i>Cinnamomum zeylanicum Blume</i>)
0906.19,2,Other
0906.20,1,Crushed or ground
0907,0,Cloves (whole fruit &&  cloves && stems)
0907.10,1,Neither crushed nor ground
0907.20,1,Crushed or ground
0908,0,Nutmeg &&  mace && cardamoms
0908,1,Nutmeg
0908.11,2,Neither crushed nor ground
0908.12,2,Crushed or ground
0908,1,Mace
0908.21,2,Neither crushed nor ground
0908.22,2,Crushed or ground
0908.22.20,3,Bombay or wild mace &&  ground
0908.22.40,3,Other
0908,1,Cardamoms
0908.31,2,Neither crushed nor ground
0908.32,2,Crushed or ground
0909,0,Seeds of anise &&  badian &&  fennel &&  coriander &&  cumin or caraway; juniper berries
0909,1,Seeds of coriander
0909.21,2,Neither crushed nor ground
0909.22,2,Crushed or ground
0909,1,Seeds of cumin
0909.31,2,Neither crushed nor ground
0909.32,2,Crushed or ground
0909,1,Seeds of anise &&  badian &&  caraway or fennel; juniper berries
0909.61,2,Neither crushed nor ground
0909.62,2,Crushed or ground
0910,0,Ginger &&  saffron &&  turmeric (curcuma) &&  thyme &&  bay leaves &&  curry && other spices
0910,1,Ginger
0910.11,2,Neither crushed nor ground
0910.11.00.10,3,Certified organic
0910.11.00.15,3,Other
0910.12,2,Crushed or ground
0910.20,1,Saffron
0910.30,1,Turmeric (curcuma)
0910.30,1,Other spices
0910.91,2,Mixtures referred to in note 1(b) to this chapter
0910.99,2,Other
0910.99,3,Thyme; bay leaves
0910.99.05,4,Crude or not manufactured
0910.99.05,4,Other
0910.99.06,5,Thyme
0910.99.07,5,Bay leaves
0910.99.10,3,Curry
0910.99.10,3,Origanum (<i>Lippia spp.</i>)
0910.99.20,4,Crude or not manufactured
0910.99.40,4,Other
0910.99.10,3,Other
0910.99.50,4,Dill
0910.99.60,4,Other
1001,0,Wheat && meslin
1001,1,Durum wheat
1001.11,2,Seed
1001.19,2,Other
1001.19.00.25,3,Certified Organic
1001.19.00.25,3,Other
1001.19.00.51,4,Grade 1
1001.19.00.53,4,Grade 2
1001.19.00.69,4,Other
1001,1,Other
1001.91,2,Seed
1001.99,2,Other
1001.99.00.05,3,Canadian western extra strong hard red spring (CWES/HRS) wheat
1001.99.00.05,3,Other
1001.99.00.05,4,Red spring wheat
1001.99.00.05,5,Grade 1
1001.99.00.11,6,Having a specified protein content not exceeding 12.9% by weight
1001.99.00.15,6,Having a specified protein content exceeding 12.9% but not exceeding 13.9% by weight.
1001.99.00.20,6,Having a specified protein content exceeding 13.9% by weight
1001.99.00.05,5,Grade 2
1001.99.00.21,6,Having a specified protein content not exceeding 12.9% by weight
1001.99.00.25,6,Having a specified protein content exceeding 12.9% but not exceeding 13.9% by weight.
1001.99.00.28,6,Having a specified protein content exceeding 13.9% by weight.
1001.99.00.35,5,Other red spring wheat
1001.99.00.40,4,White winter wheat
1001.99.00.50,4,"""Canadian"" western red winter wheat"
1001.99.00.60,4,Soft white spring wheat
1001.99.00.96,4,Other
1002,0,Rye
1002.10,1,Seed
1002.10.00.10,2,Seeds of a kind used for sowing
1002.10.00.90,2,Other
1002.90,1,Other
1003,0,Barley
1003.10,1,Seed
1003.90,1,Other
1003.90.20,2,For malting purposes
1003.90.40,2,Other
1003.90.40.20,3,Certified organic
1003.90.40.30,3,Other
1004,0,Oats
1004.10,1,Seed
1004.90,1,Other
1004.90.00.10,2,Certified organic
1004.90.00.90,2,Other
1005,0,Corn (maize)
1005.10,1,Seed
1005.10.00.10,2,Yellow corn
1005.10.00.90,2,Other
1005.90,1,Other
1005.90.20,2,Yellow dent corn
1005.90.20.15,3,Certified Organic
1005.90.20.25,3,Other
1005.90.40,2,Other
1005.90.40.40,3,Popcorn
1005.90.40.60,3,Other
1006,0,Rice
1006.10,1,Rice in the husk (paddy or rough)
1006.20,1,Husked (brown) rice
1006.20.20,2,Basmati
1006.20.40,2,Other
1006.20.40.20,3,Long grain
1006.20.40.40,3,Medium grain
1006.20.40.60,3,Short grain
1006.20.40.80,3,Mixtures of any of the above
1006.30,1,Semi-milled or wholly milled rice &&  whether or not polished or glazed
1006.30.10,2,Parboiled
1006.30.10.20,3,Long grain
1006.30.10.40,3,Other &&  including mixtures
1006.30.90,2,Other
1006.30.90.15,3,Certified Organic
1006.30.90.15,3,Other
1006.30.90.55,4,Long grain
1006.30.90.65,4,Medium grain
1006.30.90.75,4,Short grain
1006.30.90.85,4,Mixtures of any of the above
1006.40,1,Broken rice
1007,0,Grain sorghum
1007.10,1,Seed
1007.90,1,Other
1008,0,Buckwheat &&  millet && canary seeds; other cereals (including wild rice)
1008.10,1,Buckwheat
1008.10,1,Millet
1008.21,2,Seed
1008.29,2,Other
1008.30,1,Canary seeds
1008.40,1,Fonio (<i>Digitaria spp.</i>)
1008.50,1,Quinoa (<i>Chenopodium quinoa</i>)
1008.50.00.10,2,Certified organic
1008.50.00.90,2,Other
1008.60,1,Triticale
1008.90.01,1,Other cereals (including wild rice)
1008.90.01.20,2,Wild rice
1008.90.01.40,2,Other
1101,0,Wheat or meslin flour
1101.00.00.10,1,Hard spring wheat
1101.00.00.20,1,Durum wheat
1101.00.00.30,1,White winter wheat
1101.00.00.30,1,Other
1101.00.00.50,2,Certified organic
1101.00.00.60,2,Other
1102,0,Cereal flours other than of wheat or meslin
1102.20,1,Corn (maize) flour
1102.90,1,Other
1102.90.20,2,Buckwheat flour
1102.90.25,2,Rice flour
1102.90.27,2,Rye flour
1102.90.27,2,Other
1102.90.30,3,Mixtures
1102.90.60,3,Other
1103,0,Cereal groats &&  meal && pellets
1103,1,Groats && meal
1103.11,2,Of wheat
1103.11.00.20,3,Semolina
1103.11.00.40,3,Other
1103.13,2,Of corn (maize)
1103.13.00.20,3,Cornmeal
1103.13.00.60,3,Other
1103.19,2,Of other cereals
1103.19.12,3,Of oats
1103.19.14,3,Of rice
1103.19.90,3,Of other cereals
1103.20,1,Pellets
1103.20.00.10,2,Of wheat
1103.20.00.90,2,Of other cereals
1104,0,Cereal grains otherwise worked (for example &&  hulled &&  rolled &&  flaked &&  pearled &&  sliced or kibbled) &&  except rice of heading 1006; germ of cereals &&  whole &&  rolled &&  flaked or ground
1104,1,Rolled or flaked grains
1104.12,2,Of oats
1104.19,2,Of other cereals
1104.19.10,3,Of barley
1104.19.90,3,Other
1104,1,Other worked grains (for example &&  hulled &&  pearled &&  sliced or kibbled)
1104.22,2,Of oats
1104.23,2,Of corn (maize)
1104.29,2,Of other cereals
1104.29.10,3,Of barley
1104.29.90,3,Other
1104.30,1,Germ of cereals &&  whole &&  rolled &&  flaked or ground
1105,0,Flour &&  meal &&  powder &&  flakes &&  granules && pellets of potatoes
1105.10,1,Flour &&  meal && powder
1105.20,1,Flakes &&  granules && pellets
1106,0,Flour &&  meal && powder of the dried leguminous vegetables of heading 0713 &&  of sago or of roots or tubers of heading 0714 or of the products of chapter 8
1106.10,1,Of the dried leguminous vegetables of heading 0713
1106.20,1,Of sago or of roots or tubers of heading 0714
1106.20.10,2,Of Chinese water chestnuts
1106.20.90,2,Other
1106.30,1,Of the products of chapter 8
1106.30.20,2,Banana && plantain
1106.30.40,2,Other
1107,0,Malt &&  whether or not roasted
1107.10,1,Not roasted
1107.20,1,Roasted
1108,0,Starches; inulin
1108,1,Starches
1108.11,2,Wheat starch
1108.11.00.10,3,For food use
1108.11.00.90,3,Other
1108.12,2,Corn (maize) starch
1108.12.00.10,3,For food use
1108.12.00.90,3,Other
1108.13,2,Potato starch
1108.13.00.10,3,For human consumption
1108.13.00.90,3,Other
1108.14,2,Cassava (manioc) starch
1108.19,2,Other starches
1108.19.00.10,3,Cereal starches for non-food use
1108.19.00.90,3,Other
1108.20,1,Inulin
1109,0,Wheat gluten &&  whether or not dried
1109.00.10,1,To be used as animal feed
1109.00.90,1,Other
1201,0,Soybeans &&  whether or not broken
1201.10,1,Seed
1201.90,1,Other
1201.90.00.05,2,Seeds of a kind used as oil stock
1201.90.00.05,2,Other
1201.90.00.10,3,Certified Organic
1201.90.00.90,3,Other
1202,0,Peanuts (ground-nuts) &&  not roasted or otherwise cooked &&  whether or not shelled or broken
1202.30,1,Seed
1202.30.05,2,Described in general note 15 of the tariff schedule && entered pursuant to its provisions
1202.30.40,2,Described in additional U.S. note 2 to this chapter && entered pursuant to its provisions
1202.30.80,2,Other
1202.30,1,Other
1202.41,2,In shell
1202.41.05,3,Described in general note 15 of the tariff schedule && entered pursuant to its provisions
1202.41.05.20,4,For use as oil stock
1202.41.05.40,4,Other
1202.41.40,3,Described in additional U.S. note 2 to this chapter && entered pursuant to its provisions
1202.41.40.20,4,For use as oil stock
1202.41.40.40,4,Other
1202.41.80,3,Other
1202.41.80.20,4,For use as oil stock
1202.41.80.40,4,Other
1202.42,2,Shelled &&  whether or not broken
1202.42.05,3,Described in general note 15 of the tariff schedule && entered pursuant to its provisions
1202.42.05.20,4,For use as oil stock
1202.42.05.40,4,Other
1202.42.40,3,Described in additional U.S. note 2 to this chapter && entered pursuant to its provisions
1202.42.40.20,4,For use as oil stock
1202.42.40.40,4,Other
1202.42.80,3,Other
1202.42.80.20,4,For use as oil stock
1202.42.80.40,4,Other
1203,0,Copra
1204,0,Flaxseed (linseed) &&  whether or not broken
1204.00.00.10,1,For sowing
1204.00.00.10,1,For use as oil stock
1204.00.00.25,2,Certified organic
1204.00.00.35,2,Other
1204.00.00.90,1,Other
1205,0,Rape or colza seeds &&  whether or not broken
1205.10,1,Low erucic acid rape or colza seeds
1205.10.00.10,2,For sowing
1205.10.00.20,2,For use as oil stock
1205.10.00.90,2,Other
1205.90,1,Other
1205.90.00.10,2,For sowing
1205.90.00.20,2,For use as oil stock
1205.90.00.90,2,Other
1206,0,Sunflower seeds &&  whether or not broken
1206.00.00.20,1,For use as oil stock
1206.00.00.31,1,For sowing
1206.00.00.31,1,Other
1206.00.00.31,2,For human use
1206.00.00.61,3,In-shell
1206.00.00.69,3,Other
1206.00.00.90,2,Other
1207,0,Other oil seeds && oleaginous fruits &&  whether or not broken
1207.10,1,Palm nuts && kernels
1207.10,1,Cotton seeds
1207.21,2,Seed
1207.29,2,Other
1207.30,1,Castor oil seeds
1207.40,1,Sesame seeds
1207.50,1,Mustard seeds
1207.60,1,Safflower (<u>Carthamus</u> <u>tinctorius</u>) seeds
1207.70,1,Melon seeds
1207.70.00.20,2,Cantaloupe
1207.70.00.40,2,Watermelon
1207.70.00.75,2,Other
1207.70,1,Other
1207.91,2,Poppy seeds
1207.99.03,2,Other
1207.99.03.10,3,Niger seed
1207.99.03.20,3,Hemp seed
1207.99.03.91,3,Other
1208,0,Flours && meals of oil seeds or oleaginous fruits &&  other than those of mustard
1208.10,1,Of soybeans
1208.10.00.10,2,Certified organic
1208.10.00.90,2,Other
1208.90,1,Other
1209,0,Seeds &&  fruits && spores of a kind used for sowing
1209.10,1,Sugar beet seeds
1209.10,1,Seeds of forage plants
1209.21,2,Alfalfa (lucerne) seeds
1209.21.00.20,3,Certified
1209.21.00.40,3,Other
1209.22,2,Clover (<u>Trifolium</u> spp.) seeds
1209.22.20,3,White && ladino
1209.22.40,3,Other
1209.22.40.20,4,Alsike
1209.22.40.30,4,Crimson
1209.22.40.30,4,Red
1209.22.40.41,5,Double cut
1209.22.40.49,5,Other
1209.22.40.60,4,Sweet
1209.22.40.95,4,Other
1209.23,2,Fescue seeds
1209.23.00.20,3,Tall
1209.23.00.20,3,Creeping red
1209.23.00.31,4,Certified
1209.23.00.39,4,Other
1209.23.00.60,3,Meadow
1209.23.00.90,3,Other
1209.24,2,Kentucky blue grass (<u>Poa</u> <u>pratensis</u> <u>L</u>.) seeds
1209.25,2,Rye grass (<u>Lolium</u> <u>multiflorium</u> <u>Lam</u>. &&  <u>Lolium</u> <u>perenne</u> <u>L</u>.) seeds
1209.25.00.20,3,Annual
1209.25.00.40,3,Perennial
1209.29,2,Other
1209.29.10,3,Beet
1209.29.91,3,Other
1209.29.91.20,4,Bent grass (genus <u><i>Agrostis</i></u>)
1209.29.91.20,4,Bermuda grass for sowing
1209.29.91.25,5,Husked
1209.29.91.26,5,Other
1209.29.91.30,4,Birdsfoot trefoil
1209.29.91.30,4,Bromegrass
1209.29.91.36,5,Meadow
1209.29.91.37,5,Smooth
1209.29.91.38,5,Other
1209.29.91.40,4,Orchard grass
1209.29.91.60,4,Sudan grass
1209.29.91.60,4,Wheatgrass
1209.29.91.71,5,Crested
1209.29.91.74,5,Other
1209.29.91.76,4,Wild rye
1209.29.91.79,4,Other grass
1209.29.91.96,4,Other
1209.30,1,Seeds of herbaceous plants cultivated principally for their flowers
1209.30.00.10,2,Petunia
1209.30.00.90,2,Other
1209.30,1,Other
1209.91,2,Vegetable seeds
1209.91.10,3,Cauliflower
1209.91.20,3,Celery
1209.91.40,3,Onion
1209.91.50,3,Parsley
1209.91.60,3,Pepper
1209.91.60.10,4,Sweet pepper
1209.91.60.90,4,Other
1209.91.80,3,Other
1209.91.80.05,4,Broccoli
1209.91.80.05,4,Cabbage
1209.91.80.08,5,Green cabbage
1209.91.80.09,5,Other
1209.91.80.10,4,Carrot
1209.91.80.20,4,Radish
1209.91.80.30,4,Spinach
1209.91.80.40,4,Cucumber
1209.91.80.45,4,Kale
1209.91.80.47,4,Kohlrabi
1209.91.80.50,4,Lettuce
1209.91.80.54,4,Parsnip
1209.91.80.55,4,Pumpkin
1209.91.80.60,4,Squash
1209.91.80.70,4,Tomato
1209.91.80.74,4,Turnip
1209.91.80.90,4,Other
1209.99,2,Other
1209.99.20,3,Tree && shrub
1209.99.41,3,Other
1209.99.41.70,4,Tobacco
1209.99.41.90,4,Other
1210,0,Hop cones &&  fresh or dried &&  whether or not ground &&  powdered or in the form of pellets; lupulin
1210.10,1,Hop cones &&  neither ground nor powdered nor in the form of pellets
1210.20,1,Hop cones &&  ground &&  powdered or in the form of pellets; lupulin
1210.20.00.20,2,Hop cone pellets
1210.20.00.40,2,Other
1211,0,Plants && parts of plants (including seeds && fruits) &&  of a kind used primarily in perfumery &&  in pharmacy or for insecticidal &&  fungicidal or similar purposes &&  fresh &&  chilled &&  frozen or dried &&  whether or not cut &&  crushed or powdered
1211.20,1,Ginseng roots
1211.20.10,2,Fresh or dried
1211.20.10.20,3,Cultivated
1211.20.10.90,3,Wild
1211.20.15,2,Chilled or frozen
1211.30,1,Coca leaf
1211.40,1,Poppy straw
1211.50,1,Ephedra
1211.90,1,Other
1211.90,2,Mint leaves
1211.90.20,3,Crude or not manufactured
1211.90.40,3,Other
1211.90.40.20,4,Herbal teas && herbal infusions (single species &&  unmixed)
1211.90.40.40,4,Other
1211.90.60,2,Tonka beans
1211.90.60,2,Other
1211.90.92,3,Fresh or dried
1211.90.92,4,Substances having anesthetic &&  prophylactic or therapeutic properties && principally used as medicaments or as ingredients in medicaments
1211.90.92.20,5,Psyllium seed husks
1211.90.92.31,5,Other
1211.90.92.40,4,Basil
1211.90.92.50,4,Sage
1211.90.92.50,4,Other
1211.90.92.80,5,Herbal teas && herbal infusions (single species &&  unmixed)
1211.90.92.90,5,Other
1211.90.93,3,Chilled or frozen
1212,0,Locust beans &&  seaweeds && other algae &&  sugar beet && sugar cane &&  fresh &&  chilled &&  frozen or dried &&  whether or not ground; fruit stones && kernels && other vegetable products (including unroasted chicory roots of the variety <u>Cichorium</u> <u>intybus</u> <u>sativum</u>) of a kind used primarily for human consumption &&  not elsewhere specified or included
1212,1,Seaweeds && other algae
1212.21,2,Fit for human consumption
1212.29,2,Other
1212,1,Other
1212.91,2,Sugar beet
1212.92,2,Locust beans (carob)
1212.93,2,Sugar cane
1212.94,2,Chicory roots
1212.99,2,Other
1212.99,3,Apricot &&  peach (including nectarine) or plum stones && kernels
1212.99.20,4,Nectarine
1212.99.30,4,Other
1212.99.92,3,Other
1213,0,Cereal straw && husks &&  unprepared &&  whether or not chopped &&  ground &&  pressed or in the form of pellets
1214,0,Rutabagas (swedes) &&  mangolds &&  fodder roots &&  hay &&  alfalfa (lucerne) &&  clover &&  sainfoin &&  forage kale &&  lupines &&  vetches && similar forage products &&  whether or not in the form of pellets
1214.10,1,Alfalfa (lucerne) meal && pellets
1214.10,2,Dehydrated
1214.10.00.10,3,Cubes
1214.10.00.15,3,Other
1214.10,2,Other
1214.10,3,Sun-cured
1214.10.00.30,4,Cubes
1214.10.00.50,4,Other
1214.10.00.60,3,Other
1214.90,1,Other
1214.90,2,Hay
1214.90.00.10,3,Alfalfa &&  whether or not double compressed
1214.90.00.18,3,Timothy
1214.90.00.25,3,Other
1214.90.00.30,2,Clover
1214.90.00.90,2,Other
1301,0,Lac; natural gums &&  resins &&  gum-resins && oleoresins (for example &&  balsams)
1301.20,1,Gum Arabic
1301.90,1,Other
1301.90.40,2,Turpentine gum (oleoresinous exudate from living trees)
1301.90.91,2,Other
1301.90.91.05,3,Balsams
1301.90.91.10,3,Bleached shellac
1301.90.91.20,3,Seed lac
1301.90.91.30,3,Tragacanth
1301.90.91.40,3,Karaya
1301.90.91.90,3,Other
1302,0,Vegetable saps && extracts; pectic substances &&  pectinates && pectates; agar-agar && other mucilages && thickeners &&  whether or not modified &&  derived from vegetable products
1302,1,Vegetable saps && extracts
1302.11,2,Opium
1302.12,2,Of licorice
1302.13,2,Of hops
1302.14.01,2,Of ephedra
1302.19,2,Other
1302.19,3,Ginseng; substances having anesthetic &&  prophylactic or therapeutic properties
1302.19.21,4,Poppy straw extract
1302.19.41,4,Other
1302.19.41.20,5,Ginseng
1302.19.41.40,5,Other
1302.19.91,3,Other
1302.19.91.20,4,Cashew nut shell liquid
1302.19.91.40,4,Other
1302.20,1,Pectic substances &&  pectinates && pectates
1302.20,1,Mucilages && thickeners &&  whether or not modified &&  derived from vegetable products
1302.31,2,Agar-agar
1302.32,2,Mucilages && thickeners &&  whether or not modified &&  derived from locust beans &&  locust bean seeds or guar seeds
1302.32.00.20,3,Guar
1302.32.00.40,3,Locust bean
1302.39,2,Other
1302.39.00.10,3,Carrageenan
1302.39.00.90,3,Other
1401,0,Vegetable materials of a kind used primarily for plaiting (for example &&  bamboos &&  rattans &&  reeds &&  rushes &&  osier &&  raffia &&  cleaned &&  bleached or dyed cereal straw &&  && lime bark)
1401.10,1,Bamboos
1401.20,1,Rattans
1401.20.20,2,In the rough or cut transversely into sections
1401.20.20.10,3,In the rough &&  4 meters or more in length
1401.20.20.90,3,Other
1401.20.40,2,Other
1401.90,1,Other
1401.90.20,2,Willow (osier)
1401.90.40,2,Other
1404,0,Vegetable products not elsewhere specified or included
1404.20,1,Cotton linters
1404.90,1,Other
1404.90.10,2,Vegetable hair
1404.90.10,2,Vegetable materials of a kind used primarily in brooms or in brushes (for example &&  broomcorn piassava &&  couch grass && istle) &&  whether or not in hanks or bundles
1404.90.20,3,Broomcorn (<i>Sorghum vulgare</i> var. <i>technicum</i>)
1404.90.30,3,Istle
1404.90.40,3,Other
1404.90.90,2,Other
1404.90.90,3,Raw vegetable materials of a kind used primarily in dyeing or tanning
1404.90.90.20,4,Canaigre &&  chestnut &&  curupay &&  divi-divi &&  eucalyptus &&  gall nuts &&  hemlock &&  larch &&  mangrove &&  myrobalan &&  oak &&  quebracho &&  sumac &&  tara &&  urunday &&  valonia &&  wattle && other materials of a kind used primarily in tanning
1404.90.90.40,4,Other
1404.90.90.90,3,Other
1501,0,Pig fat (including lard) && poultry fat &&  other than that of heading 0209 or 1503
1501.10,1,Lard
1501.20,1,Other pig fat
1501.20.00.40,2,Choice white grease
1501.20.00.60,2,Yellow grease
1501.20.00.80,2,Other
1501.90,1,Other
1502,0,Fats of bovine animals &&  sheep or goats &&  other than those of heading 1503
