,genus,species,common_name,range_state
143,Canarium,,Kedondong,IN;ID;MY;PH;TH;VN
144,Carallia,borneensis,Karibas;Kemuning Hutan;Magtungod;Meransi,BN;KH;TL;ID;LA;MY;MM;PH;SG;TH;VN
145,Carallia,,Meransi,BN;KH;TL;ID;LA;MY;MM;PH;SG;TH;VN
146,Carapa,grandiflora,Alla;Dona;Bete;Krupi;Toon-kor-dah;Agogo;Gobi;Kowi;Mujogo;Mutongana;African Crabwood;African Crabwood;Crabwood d’Afrique,CI;GH;LR;NG;SL;UG;US;GB
147,Carapa,guianensis,Andiroba;Carapa;Andirobeira;Andiroba Branca;Andiroba Vermelha;Masabalo;Mazabalo;Cedro Bateo;Cedro Macho;Tangare;Figueroa;Crabwood;Carapa;Bastard Mahogany;Cedro Macho;Cedro Bateo;Cedro Macho;Krappa;Crappo;Carapa;Masabalo;Andiroba,BR;CO;CR;EC;GY;GF;HN;PA;SR;TT;VE
148,Carapa,procera,Andiroba;Carapa;Andirobeira;Andiroba Branca;Andiroba Vermelha;Masabalo;Mazabalo;Cedro Bateo;Cedro Macho;Tangare;Figueroa;Crabwood;Carapa;Bastard Mahogany;Cedro Macho;Cedro Bateo;Cedro Macho;Krappa;Crappo;Carapa;Masabalo;Andiroba,BR;CO;CR;EC;GY;GF;HN;PA;SR;TT;VE
149,Carapa,,Crabwood d’Afrique,CI;GH;LR;NG;SL;UG;US;GB
150,Cariniana,brasiliensis,Yesquero;Jequitiba;Jequitiba Branco;Jequitiba Rosa;Jequitiba Vermelho;Estopeiro;Jequitiba,BO;BR
151,Cariniana,decandra,Cachimbo,
152,Cariniana,integrifolia,Yesquero;Jequitiba;Jequitiba Branco;Jequitiba Rosa;Jequitiba Vermelho;Estopeiro;Jequitiba,BO;BR
153,Cariniana,legalis,Yesquero;Jequitiba;Jequitiba Branco;Jequitiba Rosa;Jequitiba Vermelho;Estopeiro;Jequitiba,BO;BR
154,Cariniana,pyriformis,Bacu;Abarco,VE
155,Caryocar,costaricense,Piquia;Almendrillo;Almendron;Cagui;Aji;Ajillo;Pekia;Sawarie;Piquia,BR;CO;CR;GY;SR
156,Caryocar,,Piquia,BR;CO;CR;GY;SR
157,Cassia,siamea,Bombay Blackwood;Iron Wood;Kassod Tree;Siamese Senna;Thailand Shower;Yellow Cassia;Casse de Siam;Djohar,BN;KH;TL;ID;LA;MY;MM;PH;SG;TH;VN;FR
158,Cassipourea,elliottii,Pillarwood,
159,Cassipourea,malosana,Pillarwood,
160,Cassipourea,,Pillarwood,
161,Castanopsis,,Castanopsis,
162,Catostemma,fragrans,Arenillo;Baramalli;Baraman;Baramanni;Flambeau Rouge;Kajoewaballi;Baromalli,AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
163,Cedrela,angustifolia,Cedro;Cedrat;Cedro;Red Cedar;Cedro;Cigarbox;Ceder;Cedro,BR;GF;GY;HN;SR
164,Cedrela,fissilis,Cedro;Cedrat;Cedro;Red Cedar;Cedro;Cigarbox;Ceder;Cedro,BR;GF;GY;HN;SR
165,Cedrela,lilloi,Cedro;Cedrat;Cedro;Red Cedar;Cedro;Cigarbox;Ceder;Cedro,BR;GF;GY;HN;SR
166,Cedrela,odorata,Cedro;Cedrat;Cedro;Red Cedar;Cedro;Cigarbox;Ceder;Cedro,BR;GF;GY;HN;SR
167,Cedrela,toona,Chomcha;Toon;Surian;Limpagna;Surea-Bawang;Thitkado;Red Cedar;Calantas;Toon;Yomham;Xoan-Moc;Red Cedar;Moulmein Cedar;Burma Cedar;Moulmein Cedar;Burma Cedar;Suren,KH;IN;ID;MY;MM;PG;PH;TH;VN;AU;GB;US
168,Cedrela,,Cedro,BR;GF;GY;HN;SR
169,Ceiba,pentandra,Araba;Kankantrie;Koemaka;Ghe;Ceibon;Toborochi;Sumauma;Silk Cotton;Onyina;Ngwe;Ceiba Yucca;Kumaka;Enia;Doum;Huimba;Okha;Piton;Mahot coton;Bonga;Ceiba Uchuputu;Panya;Ceiba;Inup;Fromager;Bois coton;Fuma;Guambush;Mapajo;Banda;Paneira,BO;CM;SV;DE;GT;GH;BR;SL;GB;CD;FR;NI;PA;CG;LR;NG;EC;HN;GF;SR;CI;VE;CO;PE;GY;CR;BZ
170,Ceiba,samauma,Ceiba;Mapajo;Toborochi;Sumauma;Paneira;Ceiba;Ceibon;Inup;Piton;Panya;Ceiba;Bonga;Ceiba Uchuputu;Guambush;Mahot coton;Fromager;Bois coton;Kumaka;Silk Cotton;Ceiba;Huimba;Kankantrie;Koemaka;Ceiba Yucca;Ceiba;Sumauma,BO;BR;BZ;CR;SV;GT;HN;NI;PA;CO;EC;GF;GY;PE;SR;VE
171,Ceiba,thonningii,Doum;Fuma;Enia;Fromager;Onyina;Ghe;Okha;Araba;Ngwe;Banda;Fuma;Fromager;Ceiba;Ceiba;Fromager;Fuma,CM;CG;CI;GH;LR;NG;SL;CD;FR;DE;GB
172,Celtis,adolfi-friderici,Bawe;Odou;Odou Vrai;Balze;Bolunde;Diania;Kayombo;Edou;Kiliakamba;Asan;Ba;Lohonfe;Engo;Celtis;Esa-Kokoo;Esa-Kosua;Shiunza;Lokonfi;Dunki;Ita;Zuwo;Ekembe-Bakaswa;Namanuka;Celtis;Red-Fruited White-Stinkwood;Diania;Ohia;Celtis d'Afrique,BJ;CM;CF;CD;CG;CI;GA;GH;KE;LR;NG;UG;DE;GB
173,Celtis,brieyi,Bawe;Odou;Odou Vrai;Balze;Bolunde;Diania;Kayombo;Edou;Kiliakamba;Asan;Ba;Lohonfe;Engo;Celtis;Esa-Kokoo;Esa-Kosua;Shiunza;Lokonfi;Dunki;Ita;Zuwo;Ekembe-Bakaswa;Namanuka;Celtis;Red-Fruited White-Stinkwood;Diania;Ohia;Celtis d'Afrique,BJ;CM;CF;CD;CG;CI;GA;GH;KE;LR;NG;UG;DE;GB
174,Celtis,durandii,Bawe;Odou;Odou Vrai;Balze;Bolunde;Diania;Kayombo;Edou;Kiliakamba;Asan;Ba;Lohonfe;Engo;Celtis;Esa-Kokoo;Esa-Kosua;Shiunza;Lokonfi;Dunki;Ita;Zuwo;Ekembe-Bakaswa;Namanuka;Celtis;Red-Fruited White-Stinkwood;Diania;Ohia;Celtis d'Afrique,BJ;CM;CF;CD;CG;CI;GA;GH;KE;LR;NG;UG;DE;GB
175,Celtis,gomphophylla,Bawe;Odou;Odou Vrai;Balze;Bolunde;Diania;Kayombo;Edou;Kiliakamba;Asan;Ba;Lohonfe;Engo;Celtis;Esa-Kokoo;Esa-Kosua;Shiunza;Lokonfi;Dunki;Ita;Zuwo;Ekembe-Bakaswa;Namanuka;Celtis;Red-Fruited White-Stinkwood;Diania;Ohia;Celtis d'Afrique,BJ;CM;CF;CD;CG;CI;GA;GH;KE;LR;NG;UG;DE;GB
176,Celtis,mildbraedii,Bawe;Odou;Odou Vrai;Balze;Bolunde;Diania;Kayombo;Edou;Kiliakamba;Asan;Ba;Lohonfe;Engo;Celtis;Esa-Kokoo;Esa-Kosua;Shiunza;Lokonfi;Dunki;Ita;Zuwo;Ekembe-Bakaswa;Namanuka;Celtis;Red-Fruited White-Stinkwood;Diania;Ohia;Celtis d'Afrique,BJ;CM;CF;CD;CG;CI;GA;GH;KE;LR;NG;UG;DE;GB
177,Celtis,tessmannii,Bawe;Odou;Odou Vrai;Balze;Bolunde;Diania;Kayombo;Edou;Kiliakamba;Asan;Ba;Lohonfe;Engo;Celtis;Esa-Kokoo;Esa-Kosua;Shiunza;Lokonfi;Dunki;Ita;Zuwo;Ekembe-Bakaswa;Namanuka;Celtis;Red-Fruited White-Stinkwood;Diania;Ohia;Celtis d'Afrique,BJ;CM;CF;CD;CG;CI;GA;GH;KE;LR;NG;UG;DE;GB
178,Celtis,zenkeri,Bawe;Odou;Odou Vrai;Balze;Bolunde;Diania;Kayombo;Edou;Kiliakamba;Asan;Ba;Lohonfe;Engo;Celtis;Esa-Kokoo;Esa-Kosua;Shiunza;Lokonfi;Dunki;Ita;Zuwo;Ekembe-Bakaswa;Namanuka;Celtis;Red-Fruited White-Stinkwood;Diania;Ohia;Celtis d'Afrique,BJ;CM;CF;CD;CG;CI;GA;GH;KE;LR;NG;UG;DE;GB
179,Celtis,,"Celtis d'Afrique (Diania, Ohia)",BJ;CM;CF;CD;CG;CI;GA;GH;KE;LR;NG;UG;DE;GB
180,Centrolobium,,Araribà,BR;CO;EC;PA;PY;VE
181,Cephalosphaera,usambarensis,Mtambara,
182,Chlorocardium,rodiei,Bibiru;Itauba Branca;Bibiru;Demerara;Greenheart;Beeberoe;Groenhart;Sipiroe;Viruviru;Greenheart,BR;GY;SR;VE
183,Chlorophora,excelsa,Moreira;Abang;Kambala;Iroko;Mvuli;Mvule;Abang;Abang;Mandji;Odum;Semli;Tule Mufula;Iroko;Semli;Lusanga;Molundu;Mokongo;Kambala;Iroko,AO;CM;CG;CI;BI;KM;DJ;ER;ET;KE;MG;MW;MU;YT;MZ;RE;RW;SC;SO;SS;TZ;UG;ZM;ZW;GQ;GA;GH;LR;MZ;NG;SL;CD;BE
184,Chlorophora,regia,Moreira;Abang;Kambala;Iroko;Mvuli;Mvule;Abang;Abang;Mandji;Odum;Semli;Tule Mufula;Iroko;Semli;Lusanga;Molundu;Mokongo;Kambala;Iroko,AO;CM;CG;CI;BI;KM;DJ;ER;ET;KE;MG;MW;MU;YT;MZ;RE;RW;SC;SO;SS;TZ;UG;ZM;ZW;GQ;GA;GH;LR;MZ;NG;SL;CD;BE
185,Chlorophora,tinctoria,Tatayiva-Saiyu;Amarillo;Amarello;Taiuva;Dinde;Palo Amarillo;Palo de Mora;Barossa;Moral;Bois d'Orange;Moral,AR;BO;BR;CO;CR;MX;TT
186,Chloroxylon,swietenia,Buruta;Ceylon Satinwood;East Indian Satinwood;Satin Ceylan,AF;AM;AZ;BH;BD;BT;BN;MM;KH;CN;CY;GE;HK;IN;ID;IR;IQ;IL;JP;JO;KZ;KP;KR;KW;KG;LA;LB;MO;MY;MV;MN;NP;OM;PK;PS;PH;QA;SA;SG;LK;SY;TW;TJ;TH;TR;TM;AE;UZ;VN;YE
187,Chorisia,,Lupuna,AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
188,Chrysophyllum,africanum;Gambeya,Abam;Bopambu;Longhi;Akatio;Anandio;Aningueri Rouge;M’bebame;Akasa;Ekpiro;Osan;Longhi,CM;CF;CG;CI;GA;GH;NG
189,Chrysophyllum,giganteum,Mukali;Kali;M’Boul;Mukali;N’Kali;Aningueri blanc;Aniegre;Kararo;Muna;Mukangu;Landojan;Osan;Tutu;Aningré-Tanganyika Nuss;Tanganyika Nuss;Aningeria;Aningré;Aniégré,AO;CF;CG;CI;ET;KE;NG;UG;CD;DE;IT;GB
190,Chrysophyllum,lacourtianum,Abam;Bopambu;Longhi;Akatio;Anandio;Aningueri Rouge;M’bebame;Akasa;Ekpiro;Osan;Longhi,CM;CF;CG;CI;GA;GH;NG
191,Chrysophyllum,lucentifolium,Abiu Casca;Abiurana;Abiurana Amarela;Abiurana Goiaba;Goiabao;Goyabao;Goiabao,BR
192,Chrysophyllum,pomiferum,Limonaballi,
193,Chrysophyllum,sanguinolentum,Assopokballi;Balata Pommier;Balata Saignant;Barataballi;Bois Cochon;Suitiamini;Balata pomme,AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
194,Chrysophyllum,subnudum,Abam;Bopambu;Longhi;Akatio;Anandio;Aningueri Rouge;M’bebame;Akasa;Ekpiro;Osan;Longhi,CM;CF;CG;CI;GA;GH;NG
195,Chrysophyllum,,Longhi,CM;CF;CG;CI;GA;GH;NG
196,Cistanthera,papaverifera,Kissinhungo;Ovoe;Ovoui;Naouya;Kotibé;Aborbora;Danta;Otutu;Kondofindo;Danta;Kotibé,AO;CM;CF;CI;GA;GH;NG;CD;GB
197,Citharexylum,fruticosum,Fiddlewood;Pombeira,BN;KH;TL;ID;LA;MY;MM;PH;SG;TH;VN
198,Clarisia,racemosa,Murure;Guariuba;Oiticica Amarela;Oiticica da Mata;Aji;Guariuba;Mata Palo;Moral Bobo;Pituca;Capinuri;Guariuba;Murere;Turupay Amarillo;Guariuba,BO;BR;CO;EC;PE
199,Clathrotropis,macrocarpa,Alma negra;Cabari;Sapan;Timbo Pau;Timbo Rana;Aromata,AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
200,Clausena,melioides,Mfu;Mkunguni;Mtongoti;Muyinja;Mafu,TZ;KE
201,Cleistopholis,glauca,Sobu,
202,Cleistopholis,patens,Sobu,
203,Coelocaryon,preussii,Nom Eteng;Kolomeko;Kikubi-Lomba;Lomba-Kumbi;Ekoune;Ekun;Ekoune;Ekun;Egbenrin;Ekoune,CM;CF;CG;CD;GQ;GA;NG
204,Colophospermum,mopane,Mopaani,
205,Copaifera,coleosperma,Muzaule;African Rosewood;Copalier;False Mopane;Mushibi;Musibi;Mussive;Muzaule;Muxibe;Rhodesian copalwood;Mutenyé;Mussibi,ZW;GB
206,Copaifera,letestui,Lumbandjii;Gheombi;Ngom;Gheombi,CM;GA
207,Copaifera,mildbraedii,Akpaflo;Essak;Bilombi;Yama;Etimoé;Bofelele;Andem-Evine;Entedua;Ovbialeke;Etimoé,BJ;CM;CF;CG;CI;CD;GA;GH;NG
208,Copaifera,mopane,Mopaani,
209,Copaifera,palustris,Krakas;Sindur;Sepetir;Meketil;Saputi;Sepeteh;Petir;Petir-Sepetir Pay;Swamp-Sepetir;Sepetir Nin-Yaki;Supa;Krathon;Maka-Tea;Sepetir,KH;ID;MY;PH;TH
210,Copaifera,religiosa,Anzem;Bengi;N’téné,DZ;ES;ES;EG;LY;PT;ES;MA;SD;TN;EH;BI;KM;DJ;ER;ET;KE;MG;MW;MU;YT;MZ;RE;RW;SC;SO;SS;TZ;UG;ZM;ZW;AO;CM;CF;TD;CG;CD;GQ;GA;ST;BW;LS;NA;ZA;SZ;BJ;BF;CV;GM;GH;GN;GW;CI;LR;ML;MR;NE;NG;SH;SN;SL;TG
211,Copaifera,salikounda,Akpaflo;Essak;Bilombi;Yama;Etimoé;Bofelele;Andem-Evine;Entedua;Ovbialeke;Etimoé,BJ;CM;CF;CG;CI;CD;GA;GH;NG
212,Copaifera,,Copaiba,AR;BR;CO;PA;VE
213,Cordia,abyssinica,Ebais;Ebe;Sumba;Makobokobo;Mringamringa;Mringaringa;Mukumari;Auhi;Awhi;Ekhi;Ebais;Ebe;Omo;Mukebu;African Cordia;East African cordia;Large-leafed cordia;Sudan teak;Cordia d’Afrique,CM;CF;CG;ET;GA;NG;UG;GB
214,Cordia,africana,Ebais;Ebe;Sumba;Makobokobo;Mringamringa;Mringaringa;Mukumari;Auhi;Awhi;Ekhi;Ebais;Ebe;Omo;Mukebu;African Cordia;East African cordia;Large-leafed cordia;Sudan teak;Cordia d’Afrique,CM;CF;CG;ET;GA;NG;UG;GB
215,Cordia,goeldiana,Freijo;Frei-Jorge;Freijo,BR
216,Cordia,holstii,Ebais;Ebe;Sumba;Makobokobo;Mringamringa;Mringaringa;Mukumari;Auhi;Awhi;Ekhi;Ebais;Ebe;Omo;Mukebu;African Cordia;East African cordia;Large-leafed cordia;Sudan teak;Cordia d’Afrique,CM;CF;CG;ET;GA;NG;UG;GB
217,Cordia,millenii,Ebais;Ebe;Sumba;Makobokobo;Mringamringa;Mringaringa;Mukumari;Auhi;Awhi;Ekhi;Ebais;Ebe;Omo;Mukebu;African Cordia;East African cordia;Large-leafed cordia;Sudan teak;Cordia d’Afrique,CM;CF;CG;ET;GA;NG;UG;GB
218,Cordia,platythyrsa,Ebais;Ebe;Sumba;Makobokobo;Mringamringa;Mringaringa;Mukumari;Auhi;Awhi;Ekhi;Ebais;Ebe;Omo;Mukebu;African Cordia;East African cordia;Large-leafed cordia;Sudan teak;Cordia d’Afrique,CM;CF;CG;ET;GA;NG;UG;GB
219,Cordia,,Cordia d’Afrique;Canalete,ET;CM;GB;CG;VE;CO;AR;GA;NG;BR;CF;CU;UG;MX
220,Cordyla,africana,Mroma;Mpachamu;Mgwata;Metondo,TZ
221,Corynanthe,bequaertii,Tsanya,
222,Corynanthe,paniculata,Tsanya,
223,Coula,edulis,Coula,
224,Coumarouna,oppositifolia,Cumaru Rana;Shihuahuaco;Tarala;Almendrillo,AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
225,Couratari,,Tauari,BR;GY;GF;SR;VE
226,Cratoxylum,arborescens,Gerunggang;Mapat;Mulu;Selunus;Gonggang;Serungan;Geronggang,ID;MY
227,Cratoxylum,glaucum,Gerunggang;Mapat;Mulu;Selunus;Gonggang;Serungan;Geronggang,ID;MY
228,Cratoxylum,lingustrinum,Gerunggang;Mapat;Mulu;Selunus;Gonggang;Serungan;Geronggang,ID;MY
229,Cratoxylum,polyanthum,Gerunggang;Mapat;Mulu;Selunus;Gonggang;Serungan;Geronggang,ID;MY
230,Croton,megalocarpus,Musine,
231,Cryptosepalum,staudtii,Tani,
232,Cylicodiscus,gabunensis,Adoum;African Greenheart;Bokoka;N'Duma;Bouemon;Edoum;Oduma;Adadua;Benya;Denya;Okan;Okan,CM;CG;CI;GA;GH;NG
233,Cynometra,alexandri,Angu;Baira;Bapa;Bosengere;Kahimbi;Kampiniungu;Lukuanga;Mbombele;Mubale;Mubangu;Mubindi;Mudindi;Muhindi;Mupombe;Tembwe;Uganda Ironwood;Muhimbi,DZ;ES;ES;EG;LY;PT;ES;MA;SD;TN;EH;BI;KM;DJ;ER;ET;KE;MG;MW;MU;YT;MZ;RE;RW;SC;SO;SS;TZ;UG;ZM;ZW;AO;CM;CF;TD;CG;CD;GQ;GA;ST;BW;LS;NA;ZA;SZ;BJ;BF;CV;GM;GH;GN;GW;CI;LR;ML;MR;NE;NG;SH;SN;SL;TG
234,Cynometra,hankei,Nganga,
235,Cynometra,,Kekatong;Nganga,MY;FJ;MM;PH;TH
236,Dacryodes,buettneri,Assia;Ozigo;Assia;Assia;Ozigo,GQ;GA;DE
237,Dacryodes,igaganga,Igaganga,
238,Dacryodes,klaineana,Mouguengueri;Safukala;Assia;Igaganga;Ossabel;Adjouaba,CD;CG;GA
239,Dacryodes,pubescens,Safukala,
240,Dacryodes,,Kedondong,IN;ID;MY;PH;TH;VN
241,Dactylocladus,stenostachys,Mentibu;Sampinur;Medang-Tabak;Jongkong;Medang;Merubong;Jongkong,ID;MY
242,Dalbergia,bariensis,East Indian Palisander;East Indian rosewood;Neang Nuon;Palissandre d’Asie;Tamalan;Palissandre d'Asie,KH;LA;TH;VN
243,Dalbergia,cambodiana,East Indian Palisander;East Indian rosewood;Neang Nuon;Palissandre d’Asie;Tamalan;Palissandre d'Asie,KH;LA;TH;VN
244,Dalbergia,cochinchinensis,East Indian Palisander;East Indian rosewood;Neang Nuon;Palissandre d’Asie;Tamalan;Palissandre d'Asie,KH;LA;TH;VN
245,Dalbergia,darienensis,Palissandre Panama,
246,Dalbergia,decipularis,Pau Rosa;Bois de rose femelle;Palissandre de Rose,BR;GF
247,Dalbergia,latifolia,East Indian Palisander;East Indian rosewood;Neang Nuon;Palissandre d’Asie;Tamalan;Palissandre d'Asie,KH;LA;TH;VN
248,Dalbergia,louveli,Bois de rose de Madagascar;Madagascar rosewood;Palissandre de Madagascar,FR;GB
249,Dalbergia,melanoxylon,Tabum;Kafundula;Zobbi;Zebe;Kikwaju;Mpingo;Poyi;Driedoring Ebbehout;Mokelete;Sebrahout;Swartdriedoring;Umbambangwe;Motangu;Chinsale;Kasalusalu;Mfwankomo;Mkelete;Mkumudwe;Msalu;Mukelete;Musonkomo;Murwiti;Pulupulu;African blackwood;African ebony;Mugembe;Poyi;Grenadille d’Afrique,TD;CD;ET;KE;NA;ZA;UG;ZM;ZW;GB
250,Dalbergia,monticola,Bois de rose de Madagascar;Madagascar rosewood;Palissandre de Madagascar,FR;GB
251,Dalbergia,nigra,Palissandre Rio,
252,Dalbergia,normandii,Bois de rose de Madagascar;Madagascar rosewood;Palissandre de Madagascar,FR;GB
253,Dalbergia,oliveri,East Indian rosewood;Palissandre d’Asie;Tamalan;East Indian Palisander;Ching-Chan;Ket-Daeng;Palissandre d'Asie;Burmese Rosewood;Neang Nuon,VN;LA;MM;TH;KH
254,Dalbergia,purpurascens,Bois de rose de Madagascar;Madagascar rosewood;Palissandre de Madagascar,FR;GB
255,Dalbergia,retusa,Cocobolo,
256,Dalbergia,sissoo,East Indian Palisander;East Indian rosewood;Neang Nuon;Palissandre d’Asie;Tamalan;Palissandre d'Asie,KH;LA;TH;VN
257,Dalbergia,spruceana,Caviuna;We-We;Jacaranda;Palissandre Rio;Palissander;Palisandro;Brazilian Rosewood;Jacaranda Pardo;Brazilian Rosewood;Shitan;Palissandre Para,BR;FR;DE;ES;GB;US;JP
258,Dalbergia,stevensonii,Palissandre Honduras,
259,Dalbergia,tucurensis,Palissandre de Guatemala,
260,Dalbergia,xerophila,Bois de rose de Madagascar;Madagascar rosewood;Palissandre de Madagascar,FR;GB
261,Dalbergia,,Palissandre de Madagascar,FR;GB
262,Daniellia,klainei,Jatin;Nsou;Singa N'Dola;Faro;Bolengu;N'Su;Lonlaviol;Ogea;Oziya;Gnessi;Daniellia;Ogea;Faro,BJ;CM;CG;CI;CD;GQ;GA;GH;NG;SL;DE;GB
263,Daniellia,ogea,Jatin;Nsou;Singa N'Dola;Faro;Bolengu;N'Su;Lonlaviol;Ogea;Oziya;Gnessi;Daniellia;Ogea;Faro,BJ;CM;CG;CI;CD;GQ;GA;GH;NG;SL;DE;GB
264,Daniellia,thurifera,Jatin;Nsou;Singa N'Dola;Faro;Bolengu;N'Su;Lonlaviol;Ogea;Oziya;Gnessi;Daniellia;Ogea;Faro,BJ;CM;CG;CI;CD;GQ;GA;GH;NG;SL;DE;GB
265,Daniellia,,Faro,BJ;CM;CG;CI;CD;GQ;GA;GH;NG;SL;DE;GB
266,Desbordesia,glaucescens,Omang;Benga;Alep;Kowo;Benga;Alep,CM;CG;GA;NG;CD
267,Detarium,macrocarpum,Dankh;Petit Détar;Sweet Dattock;Manbodé,BJ;BF;CV;GM;GH;GN;GW;CI;LR;ML;MR;NE;NG;SH;SN;SL;TG;AO;CM;CF;TD;CG;CD;GQ;GA;ST
268,Detarium,senegalense,Dankh;Petit Détar;Sweet Dattock;Manbodé,BJ;BF;CV;GM;GH;GN;GW;CI;LR;ML;MR;NE;NG;SH;SN;SL;TG;AO;CM;CF;TD;CG;CD;GQ;GA;ST
269,Dialium,aubrevillei,Mfang;M’Fan;Penzi;Afambeou;Kofina;Eyoum;Omvong;Pau Veludo;Ciania;Gbelle-Flu;Gia Kaba;Ziba;Bongola;Kasudu;Eyoum,CM;CG;CI;GA;GW;LR;MZ;CD
270,Dialium,bipindense,Mfang;M’Fan;Penzi;Afambeou;Kofina;Eyoum;Omvong;Pau Veludo;Ciania;Gbelle-Flu;Gia Kaba;Ziba;Bongola;Kasudu;Eyoum,CM;CG;CI;GA;GW;LR;MZ;CD
271,Dialium,dinklagei,Mfang;M’Fan;Penzi;Afambeou;Kofina;Eyoum;Omvong;Pau Veludo;Ciania;Gbelle-Flu;Gia Kaba;Ziba;Bongola;Kasudu;Eyoum,CM;CG;CI;GA;GW;LR;MZ;CD
272,Dialium,pachyphyllum,Mfang;M’Fan;Penzi;Afambeou;Kofina;Eyoum;Omvong;Pau Veludo;Ciania;Gbelle-Flu;Gia Kaba;Ziba;Bongola;Kasudu;Eyoum,CM;CG;CI;GA;GW;LR;MZ;CD
273,Dialium,,Eyoum;Keranji,CM;GB;CG;MZ;GA;ID;LR;VN;CD;MM;GW;TH;KH;CI
274,Dicorynia,guianensis,Angelica do Para;Tapainuna;Angelique;Basralokus;Barakaroeballi;Basralocus,BR;GF;SR
275,Didelotia,africana,Ekop-Gombe;Gombe;Broutou;Angok;Bondu;Timba;Gombé,CM;CI;GA;LR;SL
276,Didelotia,brevipaniculata,Toubaouaté,
277,Didelotia,idae,Ekop-Gombe;Gombe;Broutou;Angok;Bondu;Timba;Gombé,CM;CI;GA;LR;SL
278,Didelotia,letouzeyi,Ekop-Gombe;Gombe;Broutou;Angok;Bondu;Timba;Gombé,CM;CI;GA;LR;SL
279,Didymopanax,morototoni,Ambayguazu;Mandioqueira;Yarumero;Yagrumo Macho;Yagrumo Macho;Chancaro Blanco;Yagrumo Macho;Kasavehout;Morototo;Tinajero;Morototo,AR;BR;CO;CU;DO;MX;PR;SR;VE
280,Dillenia,aurea,Sempur;Simpur;Simpor;Mai-Masan;Zinbyum;Katmon;Masan;San;Simpoh,ID;MY;MM;PH;TH
281,Dillenia,eximia,Sempur;Simpur;Simpor;Mai-Masan;Zinbyum;Katmon;Masan;San;Simpoh,ID;MY;MM;PH;TH
282,Dillenia,,Simpoh,ID;MY;MM;PH;TH
283,Dimorphandra,,Aiéouéko,
284,Dinizia,excelsa,Angelim Falso;Angelim Ferro;Angelim Pedra;Faveira Grande;Faveira Preta;Gurupa;Parakwa;Angelim vermelho,BR;GY
285,Diospyros,burmanica,Burmese Ebony;Hpunmang;Maimakho-Ling;Mia-Mate-Si;Te;Burmese Ebony,MM
286,Diospyros,celebica,Ebène veinée d’Asie,
287,Diospyros,crassiflora,Cubaga;Ebène;Epinde-pinde;Mavini;Mevini;Ndou;Bingo;Ngoubou;Mopini;Ébano;Evila;Abokpo;Kanran;Nyareti;Osibin;Afrikanishes Ebenholz;African ebony;Madagascar ebony;Ebène Madagascar;Ebène d'Afrique,BJ;CM;CF;CG;GQ;GA;NG;DE;GB
288,Diospyros,ebenum,Ebène noire d’Asie,
289,Diospyros,evila,Cubaga;Ebène;Epinde-pinde;Mavini;Mevini;Ndou;Bingo;Ngoubou;Mopini;Ébano;Evila;Abokpo;Kanran;Nyareti;Osibin;Afrikanishes Ebenholz;African ebony;Madagascar ebony;Ebène Madagascar;Ebène d'Afrique,BJ;CM;CF;CG;GQ;GA;NG;DE;GB
290,Diospyros,ferrea,Ebène noire d’Asie,
291,Diospyros,marmorata,Ebène veinée d’Asie,
292,Diospyros,melanoxylon,Ebène noire d’Asie,
293,Diospyros,mollis,Ebène noire d’Asie,
294,Diospyros,mun,Ebène noire d’Asie,
295,Diospyros,perrieri,Cubaga;Ebène;Epinde-pinde;Mavini;Mevini;Ndou;Bingo;Ngoubou;Mopini;Ébano;Evila;Abokpo;Kanran;Nyareti;Osibin;Afrikanishes Ebenholz;African ebony;Madagascar ebony;Ebène Madagascar;Ebène d'Afrique,BJ;CM;CF;CG;GQ;GA;NG;DE;GB
296,Diospyros,rumphii,Ebène veinée d’Asie,
297,Diospyros,,Ebène d'Afrique (Ebène Madagascar),BJ;CM;CF;CG;GQ;GA;NG;DE;GB
298,Diosyros,vera,Ebène noire d’Asie,
299,Diplotropis,martiusii,Sucupira;Sapurira;Arenillo;Zapan Negro;Coeur dehors;Baaka;Tatabu;Chontaquiro;Huasai-Caspi;Zwarte Kabbes;Congrio;Alcornoque;Sucupira,BR;CO;GF;GY;PE;SR;VE
300,Diplotropis,purpurea,Sucupira;Sapurira;Arenillo;Zapan Negro;Coeur dehors;Baaka;Tatabu;Chontaquiro;Huasai-Caspi;Zwarte Kabbes;Congrio;Alcornoque;Sucupira,BR;CO;GF;GY;PE;SR;VE
301,Dipterocarpus,acutangulus,Chloeuteal;Dau;Khlong;Thbeng;Gurjun;Keroeing;Nhang;Keruing Gaga;Keruing Bajak;Keruing Beras;Yang;Kanyin;Apitong;Hora;Yang;Yaou;Dau;Tro;Keruing,KH;IN;ID;LA;MY;MM;PH;LK;TH;VN
